ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
28,Ht,HighmountainTauren,Tauren de Haut-Roc,Taurène de Haut-Roc,tauren,taurène,Tauren,,Tauren,,"Incarnations de la force et de la noblesse de cœur, les Taurens de Haut-Roc honorent les esprits de la terre, des rivières et du ciel.",Tauren,,Tauren,,8912902,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,12415,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
29,Ve,VoidElf,Elfe du Vide,Elfe du Vide,elfe du Vide,elfe du Vide,Ren’dorei,,Ren’dorei,,"Transformés par une magie interdite, les Elfes du Vide ont été rejetés par leurs semblables et se battent aujourd’hui pour l’Alliance.",Elfe,,Elfe,,9961484,4,0,15007,1096,623712,1662242,651555,0,0,0,0,0,0,12291,10,1,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,27,0,8,0,10,0,10,1,10,0,10,1,0,0
30,Ld,LightforgedDraenei,Draeneï sancteforge,Draeneï sancteforge,draeneï,draeneï,Sancteforge,,Sancteforge,,Les Draeneï sancteforge ont été imprégnés de Lumière sacrée de façon à devenir des armes vivantes luttant contre le mal.,Draeneï,,Draeneï,,8912910,1629,0,15007,1096,623712,1662241,651555,0,0,0,0,0,0,12414,10,2,29,0,0,0,0,0,0,0,0,0,0,0,7,7,0,28,0,2,0,11,0,11,1,11,0,11,1,0,0
31,Za,ZandalariTroll,Troll zandalari,Trolle zandalari,zandalari,zandalari,Zandalari,,Zandalari,,Les Zandalari vénèrent leurs Loas mystiques et sont à la tête de l’une des plus puissantes flottes d’Azeroth.,Troll,,Troll,,15204358,116,0,15007,1096,623714,2743642,651558,0,0,0,0,0,0,13503,10,4,30,0,0,0,0,0,0,0.08,0,0,0.08,0,1,7,1,32,0,7,0,0,-1,8,1,0,-1,8,1,8,0
32,Kt,KulTiran,Kultirassien,Kultirassienne,kultirassien,kultirassienne,Kultirassien,,Kultirassien,,"Après de longues années d’isolement, les fiers Kultirassiens mettent de nouveau leur puissance navale au service de l’Alliance.",Humain,,Humain,,15204364,1,0,15007,1096,623712,2575493,651555,0,0,0,0,0,0,13504,10,4,31,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,0,1,0,0,-1,0,-1,0,-1,0,-1,1,0
33,Th,ThinHuman,Humain,Humaine,humain,humaine,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
34,Di,DarkIronDwarf,Nain sombrefer,Naine sombrefer,nain,naine,Sombrefer,,Sombrefer,,"Connus pour leur tempérament de feu et leur farouche détermination, les Nains sombrefer se battent aux côtés de leurs semblables.",Nain,,Nain,,8912908,3,0,15007,1090,623712,2005930,651555,0,0,0,0,0,0,13076,10,3,11,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,0,1,0,3,0,3,1,3,0,3,1,3,0
35,Vu,Vulpera,Vulpérin,Vulpérine,vulpérin,vulpérine,Vulpérin,,Vulpérin,,"Rusés et pleins de ressources, les Vulpérins ont un don pour prospérer dans les conditions les plus hostiles.",Vulpérin,,Vulpérin,,15204358,2204,0,15007,1096,623714,3188841,651558,0,0,0,0,0,0,14002,10,10,12,0,0,0,0,0,0,0.082,0,0,0.085,0,1,7,1,37,0,4,0,0,-1,0,-1,0,-1,0,-1,9,0
36,Mo,MagharOrc,Orc mag’har,Orque mag’har,orc,orque,Mag’har,,Mag’har,,"Autrefois divisés en clans rivaux, les Orcs de Draenor épargnés par la corruption sont à présent réunis sous la bannière des féroces Mag’har.",Orc,,Orc,,8912908,2,0,15007,1096,623714,2005932,651558,0,0,0,0,0,0,13077,10,3,13,0,0,0,0,0,0,0.085,0,0,0.07,0,1,7,1,34,0,1,0,2,0,2,1,2,0,2,1,2,0
37,Mg,Mechagnome,Mécagnome,Mécagnome,mécagnome,mécagnome,Mécagnome,,Mécagnome,,"Les ingénieux Mécagnomes s’efforcent de trouver le juste équilibre entre la chair et la technologie, ce qui fait d’eux des alliés aux idées novatrices.",Gnome,,Gnome,,15204364,115,0,15007,1096,623712,3188839,651555,0,0,0,0,0,0,14014,10,0,14,896,0,0,0,0,0,0,0,0,0,0,7,7,0,35,0,1,0,7,0,7,1,7,0,7,1,0,0
52,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Imprégnés de la magie des vols draconiques, les Dracthyrs sont aussi débrouillards que des mortels et aussi puissants que des dragons.",Draconien,,draconien,,167772164,1,0,15007,1096,623712,4620425,651555,0,0,0,155552,155552,155552,0,10,0,16,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,7,7,0,70,75,13,0,0,-1,0,-1,0,-1,0,-1,0,0
70,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Imprégnés de la magie des vols draconiques, les Dracthyrs sont aussi débrouillards que des mortels et aussi puissants que des dragons.",Draconien,,draconien,,167772164,2,0,15007,1096,623714,4620425,651558,0,0,0,155552,155552,155552,0,10,0,15,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,1,7,1,52,76,13,0,0,-1,0,-1,0,-1,0,-1,0,0
71,Cd,CompanionDrake,Drake des hautes-terres,,drake des hautes-terres,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,13,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
72,Cp,CompanionProtoDragon,Proto-drake renouvelé,,proto-drake renouvelé,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,11,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
73,Cs,CompanionSerpent,Glissedrake méandrique,,glissedrake méandrique,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,15,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
74,Cw,CompanionWyvern,Drake-sauvage des falaises,,drake-sauvage des falaises,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,14,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
75,Dt,Dracthyr,Forme anthropique,,Forme anthropique,,Forme anthropique,,Forme anthropique,,Peuple mystérieux passé maître dans la manipulation des bougies.,Forme anthropique,,Forme anthropique,,103,1,0,15007,1096,623712,131948,651555,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,7,7,0,0,0,0,0,10,0,1,1,10,0,1,1,0,23
76,Dt,Dracthyr,Forme anthropique,,Forme anthropique,,Forme anthropique,,Forme anthropique,,Peuple mystérieux passé maître dans la manipulation des bougies.,Forme anthropique,,Forme anthropique,,103,1,0,15007,1096,623714,132003,651558,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,1,7,1,0,0,0,0,10,0,1,1,10,0,1,1,0,23
77,Ct,CompanionPterrodax,Vélocidrake vogue-vents,,vélocidrake vogue-vents,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,12,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
80,Cn,CompanionNetherwingDrake,Drake de l’Aile-du-Néant cavernicole,,drake de l’Aile-du-Néant cavernicole,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,16,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
82,Sg,RostrumStormGryphon,Chevaucheur de tempête algarien,,chevaucheur de tempête algarien,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,17,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
83,Fd,RostrumFaerieDragon,Drake fantasque épanoui,,drake fantasque épanoui,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,18,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
84,Ed,EarthenDwarf,Terrestre,Terrestre,terrestre,terrestre,Terrestre,,terrestre,,"Tout juste libéré des décrets qui l’entravaient, le nouveau peuple terrestre fait preuve d’une curiosité sans bornes pour explorer le monde et rejoindre la Horde.",Terrestre,,terrestre,,8912908,2,0,15007,1090,623714,5797525,651558,0,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,1,7,1,85,0,1,0,3,0,3,1,3,0,3,1,3,0
85,Ed,EarthenDwarf,Terrestre,Terrestre,terrestre,terrestre,Terrestre,,terrestre,,"Tout juste libéré des décrets qui l’entravaient, le nouveau peuple terrestre fait preuve d’une curiosité sans bornes pour explorer le monde et rejoindre l’Alliance.",Terrestre,,terrestre,,8912908,3,0,15007,1090,623712,5797525,651555,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,7,7,0,84,0,1,0,84,0,84,1,84,0,84,1,3,0
86,Hr,Harronir,Haranir,Haranir,haranir,haranir,Haranir,,haranir,,,Haranir,,haranir,,517,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
87,As,RostrumAirship,Dirigeable des archéologues,,Dirigeable des archéologues,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,19,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
90,As,RostrumAirship,Gob-trotteur du Gouffre,,gob-trotteur du gouffre,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
