Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Lord Godfrey,"Dank seiner Vergangenheit als gilnearischer Adliger und Agent der Verlassenen kann sich der verschlagene und einfallsreiche Lord Godfrey nun mit zwei Pistolen und erbarmungslosen, fleischfressenden Ghulen zur Wehr setzen.",0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
Lady Naz'jar,"Lady Naz'jar hat bei der Rückeroberung Vashj'irs aus den Händen der brutalen Kvaldir eine Schlüsselrolle gespielt, was ihr die Gunst ihrer Königin Azshara eingebracht hat. Vor kurzem hat Naz'jar einen Angriff auf Neptulon geleitet, bei dem es ihr gelungen ist, den mächtigen Elementarlord in seinem Thronsaal in die Enge zu treiben.",0.50499004,0.21556878,101,65,1045,1,28310,323,0,0,-1
Kommandant Ulthok,"Ulthok ist ein unglaublich altes Wesen, das von seinen Meistern, den Alten Göttern, gesandt wurde, um Lady Naz'jar bei der Invasion des Throns der Gezeiten zu helfen. Ulthok pulsiert mit finsterer Macht und befehligt in den tiefsten Gräben um Vashj'ir Legionen von Gesichtslosen.",0.50499004,0.42514968,102,65,1044,2,28314,323,0,0,-1
Geistbeuger Ghur'sha,"Nach seinen tapferen Bemühungen am Wirbelnden Abgrund wurde Erunak Steinsprecher, Schamane des Irdenen Rings, von den Streitkräften der Naga entführt und von Geistbeuger Ghur'sha versklavt. Es ist zu befürchten, dass dieser Parasit die volle Kontrolle über den Körper, den Geist und die vernichtenden Schamanenfähigkeiten von Erunak übernommen hat.",0.67465144,0.19311368,103,65,1046,3,28322,322,0,0,-1
Ozumat,"Geschichten über die riesigen Kraken, die die Ozeane Azeroths in Angst und Schrecken versetzen sollen, wurden einst als Seemannsgarn abgetan... doch das ist nun vorbei. Irgendwie ist es den Naga gelungen, sich Ozumat - den Patriarchen aller Kraken - gefügig zu machen und ihn gegen Neptulon und sein Gefolge aufzuhetzen.",0.3253496,0.19311368,104,65,1047,4,28318,322,0,0,-1
Rom'ogg Knochenbrecher,"Rom'ogg Knochenbrecher gilt als eines der seltenen ""fehlenden Bindeglieder"" der Oger der Scherbenwelt und hat mit seiner gnadenlosen Behandlung der Oger das Interesse des Schattenhammerkults geweckt. Jetzt setzt er seine Schreckensherrschaft in der Kammer der Einäscherung fort, wo er seinen Hunger nach dem Leid anderer stillt.",0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
"Corla, Botin des Zwielichts","Sie war einst eine erfolgreiche Magierin der Kirin Tor, doch nun dient Corla dem Schattenhammer mit grenzenloser Hingabe. Sie segnet andere Eiferer, indem sie die Energien von Netherdrachen kanalisiert, um diese Gläubigen in furchteinflößende Zwielichtdrakoniden zu verwandeln.",0.27045947,0.16317356,106,66,1038,2,2361,284,0,0,-1
Karsh Stahlbieger,"Der riesenhafte Drakonid Karsh Stahlbieger arbeitet in der Zwielichtschmiede und fertigt aus seltenem Quecksilber Kriegswaffen. Obwohl Karshs Arbeiten unter normalen Umständen fast nicht zu zerbrechen sind, werden sie bei hohen Temperaturen so brüchig wie verrostetes Eisen.",0.47005993,0.6646707,107,66,1039,3,2371,284,0,0,-1
Bella,"Bellas Vergangenheit ist eine Geschichte, so alt wie die Zeit selbst. Nachdem Bellas Partner, die Bestie, in der Schwarzfelsspitze von Helden getötet wurde, hat sich diese Hündin mit ihren vier verbleibenden Welpen dem Schattenhammer angeschlossen und möchte nun die Wesen bestrafen, die ihren Gefährten auf dem Gewissen haben.",0.66467136,0.8443115,108,66,1037,4,2378,284,0,0,-1
Aszendentenfürst Obsidius,"Als Belohnung für seine bedingungslose Hingabe und seinen Hang zur Grausamkeit wurde der mächtige Schamane Dessirik der Verkommene mit dem Aufstieg belohnt: Ein finsteres Ritual, bei dem ihm Elementarmächte verliehen wurden, die ihn in ein Ungeheuer verwandelten, das als Aszendentenfürst Obsidius bekannt geworden ist.",0.68962157,0.50748503,109,66,1036,5,2385,284,0,0,-1
Corborus,"Todesschwinge zwang den riesigen Schleifwurm Corborus in seinen Dienst und ließ ihn die ungeheuren Mengen an Elementium ausgraben, die für die Anfertigung der neuen Beschläge des Drachenaspekts benötigt wurden. Nach dem Ausbruch Todesschwinges jedoch hat sich Corborus losgerissen und bohrt sich nun in blinder Raserei durch den Steinernen Kern.",0.6297411,0.5973054,110,67,1056,1,2394,324,0,0,-1
Plattenhaut,"Dank der von den Alten Göttern verstärkten Mächte des Erdaspekts konnte Todesschwinge die Steindrachen Tiefenheims ohne weiteres dazu bringen, dem Schattenhammer zu dienen. Eines der ehrgeizigsten dieser Geschöpfe, Plattenhaut, erhofft sich Todesschwinges Gunst, wenn er alle Eindringlinge ausmerzt, die es wagen, in den Steinernen Kern vorzudringen.",0.3702597,0.44760478,111,67,1059,2,2401,324,0,0,-1
Ozruk,"Ozruk dient schon seit der Erschaffung Tiefenheims als Wächter im Steinernen Kern. Es ist nicht bekannt, warum Ozruk im Steinernen Kern geblieben ist, aber es ist offensichtlich, dass der Wächter jetzt der Auffassung ist, dass jeder, der sich Todesschwinge entgegenstellt, eine Bedrohung für Tiefenheim darstellt und daher vernichtet werden muss.",0.50499004,0.23053885,112,67,1058,3,2405,324,0,0,-1
Hohepriesterin Azil,"Hohepriesterin Azil ist eine der wenigen, die den direkten Kontakt mit den unheimlichen Meistern des Schattenhammerkults überlebt haben, doch ist von ihrem Verstand nicht mehr viel übrig. Bei den niederen Kultisten löst sie Angst und Schrecken aus, sodass sie sich ohne zu zögern selbst opfern, wenn ihre Meister es verlangen.",0.5748506,0.38772452,113,67,1057,4,2411,324,0,0,-1
Großwesir Ertan,"Ertan verteidigt den Vortexgipfel auf Befehl ihres Herrn, Asaad, gegen alle Bodenbewohner, die es sich anmaßen, sein Reich zu betreten. Damit sie ihre Pflichten erfüllen kann, wurde der Elementarfürstin die Herrschaft über die Urgewalten des Blitzes und des Windes verliehen.",0.5499004,0.44760478,114,68,1043,1,2419,325,0,0,-1
Altairus,"Der riesige Sturmdrache Altairus hält unermüdlich Wacht über die schwebenden Plattformen des Vortexgipfels. Sein Wesen wird von den Energien der Stürme durchzogen und man sagt, er befehligt die Windströme, die um die Elementarfestung peitschen.",0.51996017,0.8218564,115,68,1041,2,2425,325,0,0,-1
"Asaad, Kalif der Zephyre","Der furchteinflößende Elementar Asaad wurde von Al'Akir höchstpersönlich zum Wächter des Vortexgipfels ernannt. Nun da Siamat, Herrscher des Südwinds, von den Neferset Tol'vir eingesperrt wurde, erhofft sich Asaad, dass er in die Ränge des Konklave des Windes aufsteigen kann, wenn er seine Pflichten zur Zufriedenheit seines Herrn erfüllt.",0.30039954,0.3802395,116,68,1042,3,2431,325,0,0,-1
General Husam,"Die Titanen selbst ernannten General Husam zu einem der obersten Wächter Uldums. Nachdem Siamat, Herrscher des Südwinds, die Neferset Tol'vir vom Fluch des Fleisches befreit hatte, führte Husam eine Rebellion an, die damit endete, dass der Luftelementar gefangen genommen wurde.",0.3752497,0.42514968,117,69,1052,1,2437,277,0,0,-1
Schnappschlund,"Inmitten der Wirrungen des Aufstandes der Neferset gegen Siamat stahl der Pygmäe Augh alle Schätze der uralten Tol'vir-Stadt, die er zwischen die Finger bekommen konnte. Unter Seinesgleichen wird Augh dafür geachtet, dass er so schlau ist. Vielleicht ist es aber auch die Tatsache, dass er auf einem wilden Krokilisken namens Schnappschlund reitet.",0.674651,0.724551,118,69,1054,2,2442,277,0,0,-1
Hochprophet Barim,"Hochprophet Barim ist das gesalbte geistige Oberhaupt der Neferset. Gemeinsam mit General Husam führte er seine Landsleute gegen Siamat an und sperrte den Luftelementar ein. Dennoch treibt eine dunkle Macht Barim und seine Jünger noch immer dazu, Uldum zu terrorisieren.",0.270459,0.657186,119,69,1053,3,2455,277,0,0,-1
Siamat,"Nachdem er die Neferset Tol'vir vom Fluch des Fleisches befreit hatte, war die Macht des furchteinflößenden Elementars Siamat fast vollständig erschöpft. Gerade in diesem Augenblick der Schwäche schlugen die Tol'vir zu und sperrten Siamat auf magische Weise in der Mitte ihrer uralten, sandgeschliffenen Stadt ein.",0.4151698,0.5523952,122,69,1055,4,2474,277,0,0,-1
Tempelwächter Anhuur,"In den letzten Tagen der Nutzung der Hallen des Ursprungs durch die Titanen wurde Tempelwächter Anhuur die Willensstärke verliehen, die Macht des Lichts zu verwenden. Mit dieser Macht kam auch die Aufgabe, über die Reinheit eines jeden zu befinden, der die Anlage betritt.",0.5848307,0.62724555,124,70,1080,1,2489,297,0,0,-1
Erdwüter Ptah,"Im Sand vor dem Grab von Erdwüter Ptah stapeln sich die Knochen derer, die von Anhuur gerichtet wurden. Es heißt, Ptah kann diese Überreste seinem Willen unterwerfen und sie gegen diejenigen ins Feld führen, denen es gelingt, die erste Verteidigungslinie des Komplexes zu überwinden.",0.5,0.49251497,125,70,1076,2,2540,298,0,0,-1
Anraphet,"Die Wartungseinheit Anraphet wurde erschaffen, um die inneren Mechanismen der Hallen des Ursprungs zu bemannen. Im Falle einer Kontaminierung der Anlage durch Fremdkörper aktiviert Anraphet Programme, die diese Eindringlinge mit allen notwendigen Mitteln vernichten sollen.",0.5598805,0.14071846,126,70,1075,3,2551,297,0,0,-1
"Isiset, Konstrukt der Magie","Isisets Aufgabe besteht darin, die arkanen Energien zu regulieren, die in den Hallen des Ursprungs fließen und produziert werden. Der Sage nach ist dieses Konstrukt von seiner Meisterschaft des Arkanen und der Perfektion, die damit scheinbar einhergeht, besessen.",0.31037956,0.5,127,70,1077,4,2555,299,0,0,-1
"Ammunae, Konstrukt des Lebens","Das Neuordnungssystem in den Hallen des Ursprungs ist zwar dazu gedacht, Azeroth in seine Grundelemente zu zerlegen, doch es enthält auch Funktionen zur Erschaffung neuen Lebens. Deshalb steuert das Konstrukt Ammunae die Naturenergien in der Anlage, um sicherzustellen, dass es auch im neu erschaffenen Azeroth Leben gibt.",0.47504994,0.74700606,128,70,1074,5,2565,299,0,0,-1
"Setesh, Konstrukt der Zerstörung","Angesichts der Funktion der Hallen des Ursprungs befanden es die Titanen für nötig, Setesh zu erschaffen, ein Konstrukt mit der Macht über die Kräfte der Zerstörung. Sollte Setesh jemals der Verderbnis anheimfallen, wären die Auswirkungen katastrophal.",0.63972116,0.49251497,129,70,1079,6,2666,299,0,0,-1
"Rajh, Konstrukt der Sonne","Rajh gebietet über die Energien, die in unzähligen seiner Art den Lebensfunken gleichermaßen entfacht und wieder gelöscht haben. Er gilt als das mächtigste unter den Konstrukten in den Hallen des Ursprungs, weil er die Macht von eintausend Sonnen auf Azeroth entfesseln kann.",0.47504994,0.25299394,130,70,1078,7,2926,299,0,0,-1
General Umbriss,"Während die Helden Azeroths und ihre Verbündeten vom roten Drachenschwarm die Tore von Grim Batol angreifen, stellt sich ihnen der bösartige General Umbriss in den Weg, der die Kultisten und die Streitkräfte der Zwielichtdrachkin der Festung befehligt.",0.40518978,0.6871258,131,0,0,1,29541,293,0,0,-1
Schmiedemeister Throngus,"Dieser riesige Ettin arbeitet als Schmied für den Schattenhammerkult und verwendet die von ihm hergestellten Waffen und Rüstungen nur allzu gern, um Eindringlinge zu vernichten.",0.515,0.3,132,0,0,2,816,293,0,0,-1
Drahga Schattenbrenner,"Dieser Kurier des Schattenhammers befindet sich auf einer Mission im Auftrag der Bastion des Zwielichts. Sollten Helden seine feurigen Diener überwinden können, wird Drahga den Verteidigern Azeroths ein verhängnisvolles Omen offenbaren.",0.6946116,0.19311368,133,0,0,3,3364,293,0,0,-1
"Erudax, der Herzog der Tiefe","Todesschwinge hat einen seiner mächtigsten Offiziere ins Feld geschickt, um ein Geheimnis zu lüften, zu dessen Schutz mehrere mächtige rote Drachen ihre Leben gelassen haben. Dieser General der Gesichtslosen aus dem höhlenartigen Reich Tiefenheim wird die Geburt der nächsten Drachengeneration überwachen, damit sie alle auslöschen, die töricht genug sind, sich ihnen in den weg zu stellen.",0.8562618,0.74700606,134,0,0,4,3374,293,0,0,-1
Argaloth,"Als sie feststellten, dass sie den riesigen Grubenlord Argaloth nicht in der Violetten Festung einsperren konnten, blieb den Magiern der Kirin Tor nichts anderes übrig, als diesen mächtigen Dämon unter Tol Barad in Ketten zu legen.",0.8043925,0.6347306,139,75,1033,1,2602,282,0,2,15
Occu'thar,"Dieser fresssüchtige Dämon konnte sich aus seiner Zelle befreien und in den westlichen Flügel des Gefängnisses entkommen, wo er sämtliche Insassen verschlungen hat. Occu'thars Völlerei hat seinen Körper so sehr aufgebläht, dass er nun nicht mehr aus dem Gefängnisflügel entkommen kann, der so zu seiner neuen Zelle geworden ist.",0.15568893,0.6317773,140,75,1250,2,2605,282,0,2,15
Das Konklave des Windes,"Da Siamat, Herrscher des Südwinds, von den Tol'vir Nefersets gefangengehalten wird, mühen sich die Leutnants Al'Akirs, das Machtvakuum im Konklave des Windes zu füllen. Die verbleibenden Konklavemitglieder sind Anshal, Herrscher des Westwinds, dessen Brisen Verbündete heilen und Feinde vergiften, Rohash, Herrscher des Ostwinds, dessen Stürme die mächtigsten Berge zu Staub mahlen, und Nezir, Herrscher des Nordwinds, dessen kalte Winde mehr Leben gefordert haben als die der anderen Windfürsten zusammen.",0.47504994,0.26047897,154,74,1035,1,3166,328,0,2,15
Al'Akir,"Dank seiner überragenden Intelligenz und Gerissenheit diente Al'Akir, der Windlord, als oberster Taktiker in der entsetzlichen Armee der Alten Götter. Infolge des Kataklysmus hat er sich auf die Seite von Todesschwinge gestellt und setzt nun seine gottgleiche Macht gegen die Erzfeinde der Luftelementare, die Tol'vir, ein.",0.47504994,0.5,155,74,1034,2,3021,328,0,2,15
Halfus Wyrmbrecher,"Damit der Ettin Halfus Wyrmbrecher verschiedene Drachen als Futter für die Rituale des Schattenhammers einfangen kann, hat ihn Cho'gall mit unnatürlich großer Macht und Ausdauer versehen. Ebenfalls aus diesem Grund hat er ein Protodrachenungetüm versklavt, mit dem er seiner geflügelten Beute nachstellt.",0.5349303,0.19311368,156,72,1030,1,2959,294,0,2,15
Theralion und Valiona,"Das Wachstum von Valiona und Theralion wurde magisch beschleunigt, weil sie dazu auserkoren wurden, dem neuesten Gelege von Zwielichtdrachen als Vorbilder zu dienen und ihre Brut bei der Vernichtung allen Lebens in Azeroth anzuführen. Doch stattdessen verschwenden sie ihre unglaublichen Fähigkeiten damit, miteinander zu streiten.",0.53992033,0.7844312,157,72,1032,2,2994,294,0,2,15
Rat der Aszendenten,"Die Mitglieder des Aszendentenrates waren einst die mächtigsten Kultisten des Schattenhammers, die zu Elementarwesen verzerrt wurden, und können sich schon nicht mehr an ihr Leben als einfache Sterbliche erinnern. In ihrem verkommenen Beratungsraum entscheiden sie, welche der neuen Kandidaten für den Aufstieg zugelassen werden.",0.42514983,0.4550898,158,72,1028,3,3109,295,0,2,15
Cho'gall,"Unter der Führung Cho'galls verwandelte sich der orcische Schattenhammerklan in einen mörderischen Kult, dessen Mitglieder sich ganz den Alten Göttern und deren Propheten Todesschwinge hingeben. Der direkte Kontakt mit seinen dunklen Meistern hat Cho'galls Leib und Geist auf grauenhafte Weise entstellt.",0.73453194,0.7544911,167,72,1029,4,3165,295,0,2,15
Sinestra,"Sinestra war ursprünglich Todesschwinges oberste Gefährtin und brachte die ersten Zwielichtdrachen zur Welt, doch später wurde sie von einem ihrer eigenen schrecklichen Geschöpfe vernichtet. Von ihr bleibt nicht viel mehr als eine zerrissene Hülle, die von finsterer Magie zu neuem Leben erweckt wurde, allerdings hält sie das nicht davon ab, die Erschaffung neuer Zwielichtgelege zu überwachen.",0.49001998,0.34281433,168,72,1082,5,3226,296,0,2,12
Omnotron-Verteidigungssystem,"Das Omnotron-Verteidigungssystem wurde einst als die größte technologische Errungenschaft der Dunkeleisenzwerge angepriesen. Als Nefarian im Pechschwingenabstieg Einzug hielt, führte er das verschlissene System einem neuen Zweck zu - nämlich der Vernichtung aller Eindringlinge in seinem Labor.",0.6546913,0.5748503,169,73,1027,1,3193,285,0,2,15
Magmaul,"Magmaul ist ein kolossaler Lavawurm, der vor Jahrhunderten von Ragnaros' Dunkeleisendienern aus den Feuerlanden beschworen wurde. Nefarian betrachtet Magmaul als Besorgnis erregendes Ungeziefer, dennoch findet er Gefallen daran, der Bestie seine gescheiterten Experimente zum Fraß vorzuwerfen... oder auch seine Diener.",0.27544948,0.5748503,170,73,1024,2,3310,285,0,2,15
Atramedes,"Atramedes, auch als Experiment 25463-D bekannt, ist ein gescheiterter Versuch, einem Schwarzdrachenwelpen verbesserte Sinne zu geben. Die toxische Salbe, die dem Brutling verabreicht wurde, hat ihm das Augenlicht geraubt, wodurch er lernen musste, sich ausschließlich auf sein Gehör und seinen Geruchssinn zu verlassen. Eine tragische Geschichte... wenn Atramedes nicht so böse wäre.",0.47504994,0.32784426,171,73,1022,3,3072,286,0,2,15
Schimaeron,IGITT! BAH! BÖSE! MACHT! ES! TOT!,0.2455094,0.70209587,172,73,1023,4,3008,286,0,2,15
Maloriak,"Der Mensch Malory war einst ein begabter Alchemist, bis er von Nefarian entführt und mit dem Leichnam einer Drachenbrut verschmolzen wurde. Das Resultat - Maloriak - ist ein tollpatschiger Diener, dem nur ein mattes Glühen seiner ehemaligen Brillanz übrig bleibt.",0.7145718,0.70209587,173,73,1025,5,2929,286,0,2,15
Nefarians Ende,"Todesschwinges Sohn, Nefarian, erlangte einen fragwürdigen Ruf für seine schrecklichen Experimente zur Erschaffung chromatischer Drachen aus den Essenzen der verschiedenen Drachenschwärme Azeroths. Nach seinem Tod im Pechschwingenhort wurde er zu neuem Leben erweckt und von Todesschwinge beauftragt, seine finsteren Machenschaften fortzusetzen.",0.48003995,0.70209587,174,73,1026,6,3276,286,0,2,15
Hohepriester Venoxis,"Ursprünglich war es Venoxis' Auftrag, Hakkar zu töten, doch er wurde von dem mörderischen Wesen versklavt und später von den Helden Azeroths getötet. Durch die Bemühungen der Agenten des Seelenschinders wurde Venoxis der Geisterwelt entrissen und dazu gezwungen, Zul'Gurub mit seinen giftigen Schlangendienern zu verteidigen.",0.5099801,0.53742516,175,76,1178,1,2787,337,0,0,-1
Blutfürst Mandokir,"Der berüchtigte Blutfürst Mandokir starb einen äußerst schmerzhaften Tod bevor Blutskalptrolle vor Jahren seine Leiche schändeten. Nun geht das Gerücht um, dass Mandokir wieder durch den Dschungel des Schlingendorntals streift, indem er die Leiche des mächtigen Blutskalphäuptlings Gan'zulah als Wirt für seinen bösartigen Geist verwendet.",0.60479087,0.7994013,176,76,1179,2,2610,337,0,0,-1
Hort des Wahnsinns - Gri'lek,"Zu den widerlichen Geistern im Hort des Wahnsinns zählen Gri'lek, ein Terrortroll, dem seine Regenerationsfähigkeiten von den Loa geraubt wurden; Renataki, ein berüchtigter und sadistischer Krieger; Hazza'rah, ein Seher, der von finsteren Visionen der Zukunft geplagt wird; und Wushoolay, ein mächtiger Kämpfer, der mit der Macht des Sturms wütet.",0.599801,0.462575,177,76,788,3,2504,337,0,0,-1
Hort des Wahnsinns - Hazza'rah,"Zu den widerlichen Geistern im Hort des Wahnsinns zählen Gri'lek, ein Terrortroll, dem seine Regenerationsfähigkeiten von den Loa geraubt wurden; Renataki, ein berüchtigter und sadistischer Krieger; Hazza'rah, ein Seher, der von finsteren Visionen der Zukunft geplagt wird; und Wushoolay, ein mächtiger Kämpfer, der mit der Macht des Sturms wütet.",0.6367,0.462575,178,76,788,4,3508,337,0,0,-1
Hort des Wahnsinns - Renataki,"Zu den widerlichen Geistern im Hort des Wahnsinns zählen Gri'lek, ein Terrortroll, dem seine Regenerationsfähigkeiten von den Loa geraubt wurden; Renataki, ein berüchtigter und sadistischer Krieger; Hazza'rah, ein Seher, der von finsteren Visionen der Zukunft geplagt wird; und Wushoolay, ein mächtiger Kämpfer, der mit der Macht des Sturms wütet.",0.599801,0.51497,179,76,788,5,2501,337,0,0,-1
Hort des Wahnsinns - Wushoolay,"Zu den widerlichen Geistern im Hort des Wahnsinns zählen Gri'lek, ein Terrortroll, dem seine Regenerationsfähigkeiten von den Loa geraubt wurden; Renataki, ein berüchtigter und sadistischer Krieger; Hazza'rah, ein Seher, der von finsteren Visionen der Zukunft geplagt wird; und Wushoolay, ein mächtiger Kämpfer, der mit der Macht des Sturms wütet.",0.601905,0.414711,180,76,788,6,2498,337,0,0,-1
Hohepriesterin Kilnara,"Als Hohepriesterin Arlokk getötet wurde, ernannte der Pantherloa Bethekk ihre Schwester, Kilnara, zu seinem neuen sterblichen Avatar. Zur Unterstützung des Bündnisses zwischen den Stämmen der Gurubashi und der Zandalari hat Kilnara ihre wilden Pantherdiener auf die ahnungslosen Bewohner der Region angesetzt.",0.48003995,0.20059872,181,76,1180,7,2692,337,0,0,-1
Zanzil,"Nachdem er vom Stamm der Schädelspalter dafür verbannt wurde, dass er seine Stammesbrüder in willenlose Zombies verwandelt hatte, wurde Zanzil vor kurzem ein Platz in den Reihen der Gurubashi angeboten. Jin'do der Götterbrecher stellte ihm nur die Bedingung, dass er im Gegenzug die Streitkräfte Zul'Gurubs verstärken sollte. Von seinen toxischen Elixieren heißt es, dass sie selbst die Toten aus ihren Gräbern erwecken können.",0.31733844,0.24550891,184,76,1181,8,2508,337,0,0,-1
Jin'do der Götterbrecher,"Nach seiner Niederlage in Zul'Gurub war Jin'dos Geist von seiner Unfähigkeit geplagt, Hakkars Wünschen nachzukommen. Kürzlich ist es Jin'do gelungen, einen Weg zurück in die Welt der Sterblichen zu finden, von wo aus er den Seelenschinder versklavt hat. Von der Macht des fürchterlichen Gottes erfüllt plant Jin'do nun, den ehemaligen Ruhm des Imperiums der Gurubashi wiederherzustellen.",0.48502997,0.39520955,185,76,1182,9,2899,337,0,0,-1
Akil'zon,"Als ehemaliger Schamane des Amanistammes hatte Akil'zon eine außergewöhnliche Affinität für das Element der Luft. Dieses Talent fiel Hexlord Malacrass auf, der in diesem Moment den neuen Wirt für den Adlergott der Trolle fand.",0.35528967,0.23053885,186,77,1189,1,2521,333,0,0,-1
Nalorakk,"Hexlord Malacrass fand, dass Nalorakk - berühmt für seine furchteinflößende Wut und seine wilde Stärke auf dem Schlachtfeld - das ideale Gefäß für die Essenz des Bärengottes wäre.",0.40518978,0.7739929,187,77,1190,2,2867,333,0,0,-1
Jan'alai,"Drachenfalken sind geschickte Raubtiere, die ihre Feinde mit rasierklingenscharfen Krallen zerfetzen. Diese Gemütseinstellung und Angriffsmethode waren ebenfalls die bevorzugten Werkzeuge eines der fähigsten Schurken unter den Amani, Jan'alai.",0.55489045,0.7095809,188,77,1191,3,2621,333,0,0,-1
Halazzi,"Die Luchse Azeroths sind heimtückische Jäger, die ihre Opfer mit Reißzähnen und Klauen zerreißen. Hexlord Malacrass dachte sich, dass es nur passend wäre, die Essenz des Luchsgottes in einen der größten Jäger des Stammes einzuschließen.",0.5848307,0.23802388,189,77,1192,4,2804,333,0,0,-1
Hexlord Malacrass,Gerüchten zufolge ist Hexlord Malacrass der am meisten gefürchtete Hexendoktor im Stamm der Amani seit Jahrzehnten. Er hat das Undenkbare getan und die Essenzen mehrerer mächtiger Tiergötter der Amani in den stärksten Kriegern des Stammes eingeschlossen... die mächtigste dieser Essenzen hat er jedoch für sich selbst behalten.,0.7145718,0.5299401,190,77,1193,5,2706,333,0,0,-1
Daakara,"Um das Machtvakuum nach dem Tod ihres ehemaligen Kriegsherren, Zul'jin, zu füllen, haben die verbleibenden Amanitrolle ihren beliebtesten Helden, Daakara den Unbesiegbaren, auserwählt, ihre verlorene Ehre wiederherzustellen.",0.90419334,0.5299401,191,77,1194,6,2875,333,0,0,-1
Beth'tilac,"Die Matriarchin der Aschenweberbrut, Beth'tilac, und ihre gnadenlosen Kinder stillen ihren Hunger, indem sie den Leichen von Elementaren Magma und Feuer aussaugen. Um ihren Nachkommen zusätzliche Nahrung zu verschaffen, hat Beth'tilac ein Netz aus feurigen Fäden über ihrem Unterschlupf aufgespannt, mit dem sie ahnungslose Opfer fängt.",0.21057922,0.32784426,192,78,1197,1,20826,367,0,0,-1
