ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
11,Dr,Draenei,Draenei,,draenei,draenei,Draenei,,draenei,,Los draenei huyeron de la corrupción demoníaca y ahora prestan su poder para defender Azeroth.,Draenei,,draenei,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Orco vil,,orco vil,orco vil,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,Naga,,naga,naga,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,Tábido,Tábida,tábido,tábida,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,Esqueleto,,esqueleto,esqueleto,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,Vrykul,,vrykul,vrykul,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,Colmillarr,,colmillarr,tuskarr,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,Trol de bosque,,trol de bosque,trol de bosque,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,Taunka,,taunka,taunka,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,Esqueleto de Rasganorte,,esqueleto de Rasganorte,esqueleto de Rasganorte,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
21,It,IceTroll,Trol de hielo,,trol de hielo,trol de hielo,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,Huargen,,huargen,huargen,gilneano,,gilneano,,"Una maldición transformó a los humanos de Gilneas en huargen salvajes, que ahora dominan su ferocidad para ayudar a sus aliados.",Huargen,,huargen,,6291526,2203,170,15007,1096,623712,313254,651555,0,47273,0,47268,47239,47268,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,Gilneano,Gilneana,gilneano,gilneana,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,47268,47268,47268,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,Pandaren,,pandaren,pandaren,Pandaren,,pandaren,,"Los pandaren son un pueblo espiritual y curioso que ama la cocina, la cerveza y las aventuras.",Pandaren,,pandaren,,6543380,2395,259,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,10,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,Pandaren,,pandaren,pandaren,Tushui,,Tushui,,"Los pandaren son un pueblo espiritual y curioso que ama la cocina, la cerveza y las aventuras.",Pandaren,,pandaren,,211460,2401,259,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,10,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,Pandaren,,pandaren,pandaren,Huojin,,Huojin,,"Los pandaren son un pueblo espiritual y curioso que ama la cocina, la cerveza y las aventuras.",Pandaren,,pandaren,,211460,2402,259,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,10,24,24,0,24,1,24,0,24,1,0,0
27,Nb,Nightborne,Nocheterna,,nocheterna,nocheterna,Shal'dorei,,shal'dorei,,"Los Nocheterna, aislados en Suramar 10 000 años, desarrollaron un dominio sin par de las artes arcanas.",Elfo,,elfo,,11010052,1610,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,12413,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
28,Ht,HighmountainTauren,Tauren Monte Alto,,tauren,tauren,Tauren,,tauren,,"Los tauren de Monte Alto honran a los espíritus de la tierra, el río y el cielo encarnando la nobleza y la fuerza.",Tauren,,tauren,,8912902,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,12415,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
29,Ve,VoidElf,Elfo del Vacío,Elfa del Vacío,elfo del Vacío,elfa del Vacío,Ren'dorei,,ren'dorei,,Una magia prohibida transformó a los elfos del Vacío y su pueblo los desterró. Ahora luchan por la Alianza.,Elfo,,elfo,,9961484,4,0,15007,1096,623712,1662242,651555,0,0,0,0,0,0,12291,10,1,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,27,0,8,0,10,0,10,1,10,0,10,1,0,0
30,Ld,LightforgedDraenei,Draenei forjado por la Luz,Draenei forjada por la Luz,draenei,draenei,Forjado por la Luz,,Forjado por la Luz,,Los draenei forjados por la Luz fueron imbuidos de Luz Sagrada y convertidos en armas vivientes contra el mal.,Draenei,,draenei,,8912910,1629,0,15007,1096,623712,1662241,651555,0,0,0,0,0,0,12414,10,2,29,0,0,0,0,0,0,0,0,0,0,0,7,7,0,28,0,2,0,11,0,11,1,11,0,11,1,0,0
31,Za,ZandalariTroll,Trol Zandalari,,Zandalari,Zandalari,Zandalari,,Zandalari,,Los Zandalari veneran a sus loa místicos y lideran una de las flotas más formidables de Azeroth.,Trol,,trol,,15204358,116,0,15007,1096,623714,2743642,651558,0,0,0,0,0,0,13503,10,4,30,0,0,0,0,0,0,0.08,0,0,0.08,0,1,7,1,32,0,7,0,0,-1,8,1,0,-1,8,1,8,0
32,Kt,KulTiran,Ciudadano de Kul Tiras,Ciudadana de Kul Tiras,ciudadano de Kul Tiras,ciudadana de Kul Tiras,Ciudadano de Kul Tiras,,Ciudadano de Kul Tiras,,"Tras años de aislamiento, los habitantes de Kul Tiras volvieron a prestarle su poderío naval a la Alianza.",Humano,,humano,,15204364,1,0,15007,1096,623712,2575493,651555,0,0,0,0,0,0,13504,10,4,31,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,0,1,0,0,-1,0,-1,0,-1,0,-1,1,0
33,Th,ThinHuman,Humano,Humana,humano,humana,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
34,Di,DarkIronDwarf,Enano Hierro Negro,Enana Hierro Negro,enano,enana,Hierro Negro,,Hierro Negro,,"Los Hierro Negro, de fuerte temperamento y fiera determinación, luchan ahora con sus hermanos enanos.",Enano,,enano,,8912908,3,0,15007,1090,623712,2005930,651555,0,0,0,0,0,0,13076,10,3,11,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,0,1,0,3,0,3,1,3,0,3,1,3,0
35,Vu,Vulpera,Vulpera,Vulpera,vulpera,vulpera,Vulpera,,vulpera,,"Los vulperas son un pueblo astuto y hábil, hechos para sobrevivir en las condiciones más adversas.",Vulpera,,vulpera,,15204358,2204,0,15007,1096,623714,3188841,651558,0,0,0,0,0,0,14002,10,10,12,0,0,0,0,0,0,0.082,0,0,0.085,0,1,7,1,37,0,4,0,0,-1,0,-1,0,-1,0,-1,9,0
36,Mo,MagharOrc,Orco Mag'har,Orco Mag'har,orco,orco,Mag'har,,Mag'har,,"Los clanes de orcos incorruptos de Draenor, antaño rivales, se han unido ahora bajo el nombre Mag'har.",Orco,,orco,,8912908,2,0,15007,1096,623714,2005932,651558,0,0,0,0,0,0,13077,10,3,13,0,0,0,0,0,0,0.085,0,0,0.07,0,1,7,1,34,0,1,0,2,0,2,1,2,0,2,1,2,0
37,Mg,Mechagnome,Mecagnomo,Mecagnomo,mecagnomo,mecagnomo,Mecagnomo,,mecagnomo,,"Los mecagnomos buscan el equilibrio entre la carne y la tecnología, por lo que son aliados innovadores.",Gnomo,,gnomo,,15204364,115,0,15007,1096,623712,3188839,651555,0,0,0,0,0,0,14014,10,0,14,896,0,0,0,0,0,0,0,0,0,0,7,7,0,35,0,1,0,7,0,7,1,7,0,7,1,0,0
52,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Imbuidos de la magia de los Vuelos, los dracthyr combinan el ingenio de los mortales con el poder de los dragones.",Dragonante,,dragonante,,167772164,1,0,15007,1096,623712,4620425,651555,0,0,0,155552,155552,155552,0,10,0,16,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,7,7,0,70,75,13,0,0,-1,0,-1,0,-1,0,-1,0,0
70,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Imbuidos de la magia de los Vuelos, los dracthyr combinan el ingenio de los mortales con el poder de los dragones.",Dragonante,,dragonante,,167772164,2,0,15007,1096,623714,4620425,651558,0,0,0,155552,155552,155552,0,10,0,15,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,1,7,1,52,76,13,0,0,-1,0,-1,0,-1,0,-1,0,0
71,Cd,CompanionDrake,Draco de las Tierras Altas,,draco de las Tierras Altas,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,13,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
72,Cp,CompanionProtoDragon,Protodraco renovado,,protodraco renovado,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,11,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
73,Cs,CompanionSerpent,Reptadraco sinuoso,,reptadraco sinuoso,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,15,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
74,Cw,CompanionWyvern,Dracosalvaje del acantilado,,dracosalvaje del acantilado,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,14,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
75,Dt,Dracthyr,Rostro,,rostro,,Rostro,,rostro,,Un pueblo misterioso y aficionado a manipular velas.,Rostro,,rostro,,103,1,0,15007,1096,623712,131948,651555,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,7,7,0,0,0,0,0,10,0,1,1,10,0,1,1,0,23
76,Dt,Dracthyr,Rostro,,rostro,,Rostro,,rostro,,Un pueblo misterioso y aficionado a manipular velas.,Rostro,,rostro,,103,1,0,15007,1096,623714,132003,651558,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,1,7,1,0,0,0,0,10,0,1,1,10,0,1,1,0,23
77,Ct,CompanionPterrodax,Velocidraco natoviento,,velocidraco natoviento,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,12,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
80,Cn,CompanionNetherwingDrake,Draco Ala Abisal de las grutas,,draco Ala Abisal de las grutas,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,16,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
82,Sg,RostrumStormGryphon,Jinete de la tormenta de Algar,,jinete de la tormenta de Algar,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,17,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
83,Fd,RostrumFaerieDragon,Draco extravagante floreciente,,draco extravagante floreciente,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,18,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
84,Ed,EarthenDwarf,Terráneo,Terránea,terráneo,terránea,Terráneo,,terráneo,,"Los nuevos terráneos, recién liberados de los edictos que los constreñían, emergen con una curiosidad infinita para explorar el mundo y unirse a la Horda.",Terráneos,,terráneo,,8912908,2,0,15007,1090,623714,5797525,651558,0,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,1,7,1,85,0,1,0,3,0,3,1,3,0,3,1,3,0
85,Ed,EarthenDwarf,Terráneo,Terránea,terráneo,terránea,Terráneo,,terráneo,,"Los nuevos terráneos, recién liberados de los edictos que los constreñían, emergen con una curiosidad infinita para explorar el mundo y unirse a la Alianza.",Terráneos,,terráneo,,8912908,3,0,15007,1090,623712,5797525,651555,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,7,7,0,84,0,1,0,84,0,84,1,84,0,84,1,3,0
86,Hr,Harronir,Haranir,Haranir,haranir,haranir,Haranir,,haranir,,,Haranir,,haranir,,517,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
87,As,RostrumAirship,Dirigible de explorador de profundidades,,Dirigible de explorador de profundidades,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,19,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
90,As,RostrumAirship,Trotón de explorador de profundidades,,trotón de explorador de profundidades,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
