CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
I Bastioni Superiori sono il dominio dei più devoti servitori del Carceriere. Le forze d'élite dei Giurafauce e dei loro alleati Venthyr pattugliano queste sale e rappresentano le difese più potenti del loro padrone.,Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,15,26660,5357
"Fedeli al loro nome, i Corridoi Contorti si snodano in modo imprevedibile tra gli innumerevoli blocchi di celle di Torgast e sono sorvegliati da ogni tipo di servitore del Carceriere. Coloro che sono tanto intrepidi da avventurarsi nei loro 18 piani di rado ritornano tutti interi.|n|nNon subiscono l'influenza della Scatola dalle Molte Cose.",Ricompensa ricevuta,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
Le Segrete Impenetrabili scoperte di recente sono il luogo in cui il Carceriere tiene alcuni dei suoi prigionieri più odiati.,Ricompensa ricevuta - Completare nuovamente questo blocco fornisce una piccola quantità di Cenere d'Anima aggiuntiva,46,26812,5354
Combatti contro 8 piani di creature e boss di ogni ala di Torgast. Le sfide diventano sempre più difficili man mano che scali la torre.|n|nSi consiglia di avvalersi dell'aiuto degli amici.|n|nNon subisce l'influenza della Scatola dalle Molte Cose.,Ricompensa ricevuta,47,27436,5358
Combatti contro 8 piani di creature e boss di ogni ala di Torgast. Le sfide diventano sempre più difficili man mano che scali la torre.|n|nSi consiglia di avvalersi dell'aiuto degli amici.|n|nNon subisce l'influenza della Scatola dalle Molte Cose.,Ricompensa ricevuta,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
,,69,38648,5551
,,70,39563,5551
,,75,39749,5551
