ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
307,"Чтобы продолжить кампанию, возьмите задание ""Не отступать"" у рядового Коула.",108912,0,1,212
318,"Разведчики ищут другое подходящее место для аванпоста в Зандаларе.|n|nЧтобы продолжить, достигните 114-го уровня.",62173,0,0,1
319,"Разведчики ищут азерит для финансирования кампании.|n|nЧтобы продолжить, достигните 116-го уровня.",62174,1,0,1
320,,108981,1,0,215
322,,109025,2,0,215
323,"Разведчики ищут другое подходящее место для аванпоста в Кул-Тирасе.|n|nЧтобы продолжить, достигните 114-го уровня.",62184,0,0,2
324,"Разведчики ищут азерит для финансирования кампании.|n|nЧтобы продолжить, достигните 48-го уровня.",62185,1,0,2
345,,109197,1,0,216
346,,109200,2,0,216
350,,109223,3,0,216
351,,109640,4,0,216
352,,109651,0,0,217
353,,109679,5,0,216
354,,109791,0,1,218
355,,109813,0,1,222
356,,109651,0,0,223
357,,109197,1,0,225
358,,109200,2,0,225
359,,109223,3,0,225
360,,110188,4,0,225
361,,109679,5,0,225
362,,109866,1,0,226
363,,109868,2,0,226
364,,110020,0,0,216
365,,110020,0,0,225
374,,119768,0,0,247
375,,119784,1,0,247
376,,119786,2,0,247
378,,119802,3,0,247
379,,119938,1,0,246
380,,119768,0,0,248
381,,119784,1,0,248
382,,119786,2,0,248
383,,119802,3,0,248
384,,119916,1,0,249
385,,119918,2,0,249
386,,119921,3,0,249
387,,119922,4,0,249
388,,119923,5,0,249
389,,119924,6,0,249
390,,119925,7,0,249
391,,119927,8,0,249
392,,119928,9,0,249
393,,119929,10,0,249
394,,119930,11,0,249
395,,119805,2,0,246
396,,119939,3,0,246
397,,119940,4,0,246
398,,119942,5,0,246
399,,119941,6,0,246
400,,119937,7,0,246
401,,119936,8,0,246
402,,119935,9,0,246
403,,119934,10,0,246
404,,119932,11,0,246
405,,119951,0,0,250
406,,119951,0,0,251
408,,119968,0,0,252
409,,119969,0,0,253
410,,119969,0,0,254
412,"Достигните 80-го уровня, чтобы продолжить кампанию.",127956,0,0,240
414,,119967,0,0,246
415,,119967,0,0,249
419,,123559,0,0,256
420,,123560,1,0,256
421,,123561,2,0,256
425,,124973,0,1,215
426,,124976,0,1,226
427,Дождитесь вестей от Аллерии Ветрокрылой.,34450,1,0,240
428,Дождитесь вестей от Аллерии Ветрокрылой.,34450,2,0,240
430,"Пройдите кампанию The War Within, чтобы начать.",34450,0,0,265
431,"Пройдите кампанию ""Последние тени"", чтобы начать.",34450,1,0,265
433,"Достигните 4-го уровня известности с фракциями The War Within, чтобы продолжить кампанию.",127075,3,0,240
434,"Поговорите с Кадгаром в Даларане, чтобы отправиться в Каз Алгар.",127637,1,0,235
435,Дождитесь вестей от Аллерии Ветрокрылой.,127958,4,0,240
436,Дождитесь вестей от Аллерии Ветрокрылой.,127960,5,0,240
437,Дождитесь вестей от Аллерии Ветрокрылой.,127961,6,0,240
441,Дождитесь вестей от Кадгара.,34450,2,0,265
445,,132762,0,0,235
446,,132761,0,0,201
449,"Подождите, пока Рензик убеждает Газлоу.",135473,0,0,264
451,"Продолжите кампанию оплота вашего класса, чтобы начать кампанию ""Азсуна"".",136286,0,1,275
452,"Продолжите кампанию оплота вашего класса, чтобы начать кампанию ""Валь'шара"".",136286,0,1,277
453,"Продолжите кампанию оплота вашего класса, чтобы начать кампанию ""Штормхейм"".",136286,0,1,280
454,"Продолжите кампанию оплота вашего класса, чтобы начать кампанию ""Крутогорье"".",136286,0,1,278
455,"Прежде чем начать кампанию ""Азсуна"", продолжите кампанию ""Крутогорье"" или откажитесь от нее.",136338,1,1,275
456,"Прежде чем начать кампанию ""Азсуна"", продолжите кампанию ""Штормхейм"" или откажитесь от нее.",136340,2,1,275
457,"Прежде чем начать кампанию ""Азсуна"", продолжите кампанию ""Валь'шара"" или откажитесь от нее.",136337,3,1,275
458,"Прежде чем начать кампанию ""Валь'шара"", продолжите кампанию ""Азсуна"" или откажитесь от нее.",136339,1,1,277
459,"Прежде чем начать кампанию ""Валь'шара"", продолжите кампанию ""Крутогорье"" или откажитесь от нее.",136338,2,1,277
460,"Прежде чем начать кампанию ""Валь'шара"", продолжите кампанию ""Штормхейм"" или откажитесь от нее.",136340,3,1,277
461,"Прежде чем начать кампанию ""Штормхейм"", продолжите кампанию ""Азсуна"" или откажитесь от нее.",136339,1,1,280
462,"Прежде чем начать кампанию ""Штормхейм"", продолжите кампанию ""Крутогорье"" или откажитесь от нее.",136338,2,1,280
463,"Прежде чем начать кампанию ""Штормхейм"", продолжите кампанию ""Валь'шара"" или откажитесь от нее.",136337,3,1,280
464,"Прежде чем начать кампанию ""Крутогорье"", продолжите кампанию ""Азсуна"" или откажитесь от нее.",136339,1,1,278
465,"Прежде чем начать кампанию ""Крутогорье"", продолжите кампанию ""Штормхейм"" или откажитесь от нее.",136340,2,1,278
466,"Прежде чем начать кампанию ""Крутогорье"", продолжите кампанию ""Валь'шара"" или откажитесь от нее.",136337,3,1,278
467,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,286
469,"Выполните задание ""Союз фракций"" в Даларане.",136860,0,1,290
470,"Продолжите кампанию ""Погибель Легиона"", чтобы открыть кампанию ""Тени Аргуса"".",136942,0,1,291
472,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,2,0,292
473,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,293
474,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,294
475,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,295
476,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,296
477,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,297
478,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,298
479,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,299
480,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,300
481,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,2,0,301
482,"Чтобы продолжить кампанию, выполните задание ""Армия погибели Легиона"" в Даларане.",136470,1,0,302
509,"Вернитесь в ""Оазис"" позже на этой неделе.",137010,0,0,283
510,"Вернитесь в ""Оазис"" на следующей неделе.",137012,1,0,283
511,"Вернитесь в ""Оазис"" позже на этой неделе.",137013,2,0,283
512,"Вернитесь в ""Оазис"" на следующей неделе.",137014,3,0,283
513,"Вернитесь в ""Оазис"" позже на этой неделе.",137024,4,0,283
514,"Вернитесь в ""Оазис"" на следующей неделе.",137025,5,0,283
515,"Вернитесь в ""Оазис"" позже на этой неделе.",137056,6,0,283
517,"Продолжите кампанию о становлении Иллидана Ярость Бури, чтобы продолжить кампанию оплота паладинов.",137133,1,0,292
538,"Продолжите кампанию, приняв задание ""Потерянный рай"" с помощью тактической карты в оплоте вашего класса.",137883,4,0,275
539,"Продолжите кампанию, приняв задание ""Безмятежный лес"" с помощью тактической карты в оплоте вашего класса.",137907,4,0,277
540,"Продолжите кампанию, приняв задание ""Одинокая гора"" с помощью тактической карты в оплоте вашего класса.",137908,4,0,278
541,"Продолжите кампанию, приняв задание ""Штормхейм"" с помощью тактической карты в оплоте вашего класса.",137909,4,0,280
542,"Первой чародейке Талисре грозит иссушение. Утолите ее голод древней маной в Шал'Аране, чтобы продолжить кампанию.",137945,0,0,288
543,"Главному телеманту Окулету грозит иссушение. Утолите его голод древней маной в Шал'Аране, чтобы продолжить кампанию.",137946,1,0,288
544,"Войдите в Сурамар, замаскировавшись с помощью способности ""Маскарад"".",137947,3,0,288
545,"Чародейке Вальтруа грозит иссушение. Утолите ее голод древней маной в Шал'Аране, чтобы продолжить кампанию.",137950,2,0,288
546,"Войдите в пустоши Анторуса, чтобы продолжить кампанию.",137951,1,0,291
547,"Продолжите кампанию оплота вашего класса, чтобы продолжить кампанию ""Погибель Легиона"".",137965,1,1,290
548,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,286
549,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,302
550,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,3,0,301
551,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,300
552,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,299
553,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,298
554,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,297
555,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,296
556,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,295
557,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,294
558,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,2,0,293
559,"Чтобы продолжить кампанию, выполните задание ""Защитники Армии погибели Легиона"" на Расколотом берегу.",137966,3,0,292
560,"Дождитесь союзников, чтобы сразиться с Темной Стражей.",138189,0,0,271
561,"Дождитесь союзников, чтобы сразиться с Темной Стражей.",138189,0,0,311
575,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,286
576,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,298
577,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,296
578,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,294
579,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,295
580,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,292
581,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,299
582,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,297
583,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,293
584,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,300
585,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,1,1,301
586,"Достигните 30-го уровня, чтобы продолжить кампанию вашего оплота.",143528,0,1,302
591,"Чтобы продолжить кампанию, начните задание ""Будущее Молота Скверны"" и выберите героя.",147290,0,1,301
