ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
73,Твердыня Крыла Тьмы,"Казалось, смерть Нефариана положила конец его зловещим экспериментам по выведению новой породы драконов. Но ходят слухи, что его отец, Смертокрыл, воскресил павшего сына и приказал продолжить работу в твердыне Крыла Тьмы. Трудно представить, какие чудовищные формы примет стремление Нефариана восторжествовать над законами природы...",669,522335,522351,460860,526403,0,5729,0
74,Трон Четырех Ветров,"Трон Четырех Ветров, обитель Ал'акира, Владыки Ветра, величественно парит в бескрайних просторах Небесной выси. Теперь, когда границы обители стихий пали, Ал'акир может свободно путешествовать среди ветров Азерота. Он уже послал своих самых яростных прислужников в Ульдум, чтобы очистить его от присутствия смертных и завладеть таинственным наследием титанов – Чертогами Созидания.",754,522343,522359,460874,526411,0,5684,0
75,Крепость Барадин,"После окончания Второй войны разрушенная крепость Барадин стала идеальной тюрьмой для самых опасных преступников Азерота. Но разрушительная сила катаклизма не обошла стороной далекий остров Тол Барад. И пока Орда и Альянс сражаются за территории, давно забытые кошмары ждут подходящего момента, чтобы напомнить о себе.",757,522333,522349,464826,526401,2,0,0
76,Зул'Гуруб,"Некогда Зул'Гуруб был столицей племени Гурубаши, которые безраздельно правили в бескрайних южных джунглях. Именно здесь проклинатель Джин'до призвал в Азерот жестокого и кровожадного духа – Хаккара Свежевателя Душ. А в последнее время это место стало центром нового союза зандаларов и гурубаши, мечтающих воссоздать единую империю троллей.",859,522348,522364,136369,526416,0,0,0
77,Зул'Аман,"Эхо давней вражды все еще слышится в древней столице племени Амани, Зул'Амане. Хотя тролли племени откликнулись на призыв вождя, у Зул'джина не получилось восстановить былую славу империи. Там, где он потерпел поражение, восторжествуют зандалары. Тролли объединившихся племен жаждут вернуть свои земли и отомстить за былые обиды.",568,522347,522363,136367,526415,0,3508,0
78,Огненные Просторы,"Огненные Просторы – пылающее царство, куда титаны изгнали Рагнароса и его верных слуг. Он вырвался на просторы Азерота следом за Смертокрылом и захватил склоны Хиджала прежде, чем доблестные хранители священной горы сумели изгнать его обратно. И теперь Рагнарос собирает союзников, чтобы не допустить защитников Азерота в свои владения.",720,522337,522353,529270,526405,0,0,0
184,Конец Времен,"Эта дорога времени – одна из бесчисленных возможных – воплощает мрачное будущее Азерота, в котором его защитники не смогли отстоять свой мир и сражение закончилось победой Смертокрыла. Ноздорму обнаружил в этом будущем сильнейшую аномалию, которая отрезала ему путь в прошлое, а с ним и надежду обрести Душу Дракона. Существо, не подчиняющееся силе времени, живущее в одиночестве среди отзвуков прошлого, искаженных ушедшими веками.",938,571739,571754,575262,571758,1,0,0
185,Источник Вечности,"Десять тысяч лет назад столица ночных эльфов Зин-Азшари была великолепным, сияющим городом. Именно в этом городе, расположенном на берегах Источника Вечности, аристократы-высокорожденные открыли первый портал в Круговерть Пустоты и призвали Пылающий Легион в Азерот. Подчиняясь приказам Азшары, королевы ночных эльфов, высокорожденные неустанно насыщают портал магической энергией, чтобы дать Саргерасу возможность ступить на землю Азерота.",939,571741,571756,575266,571760,0,0,0
186,Время Сумерек,"Душа Дракона – у Тралла, и теперь героям Азерота необходимо подготовиться к решающей битве со Смертокрылом. Посреди ледяных пустошей Нордскола возвышается шпиль Храма Драконьего Покоя, осаждаемый подчиняющимися Смертокрылу силами Сумрака. Чтобы спасти Азерот от неминуемой гибели, Тралл должен добраться до Храма – и доставить туда Душу Дракона.",940,571740,571755,575264,571759,0,0,0
187,Душа Дракона,"Душа Дракона, созданная Смертокрылом во время Войны древних и впоследствии уничтоженная, обладала мощью всех драконов. Тралл и оставшиеся драконы отправились в пещеры Времени и спасли этот могущественный артефакт за считанные секунды до его разрушения, и теперь они собрались в храме Драконьего Покоя, чтобы воплотить в жизнь отчаянный план – использовать Душу Дракона против самого Смертокрыла.",967,571738,571753,575261,571757,0,0,0
226,Огненная Пропасть,"Огненная Пропасть залегает глубоко под Оргриммаром. Когда-то ее вулканическими пещерами владели дикие трогги и жуткие сектанты из клана Пламенеющего Клинка, но теперь там обитает новая угроза: темный шаман. Да, не так давно Гаррош Адский Крик взывал к шаманам, способным использовать силу стихий в войне с Альянсом, но те, кто живет в Пропасти, – отступники. Ходят слухи, что эти призрачные тени собирают армию. И если она выйдет в Оргриммар, начнется хаос...",389,608172,608211,136350,608250,0,0,0
227,Непроглядная Пучина,"Непроглядная Пучина, капище богини ночных эльфов Элуны, долгое время считалась утерянной. По слухам, Великий Раскол разрушил храм, и тот погрузился в морскую пучину. Спустя много веков, члены культа Сумеречного Молота, доведенные до безумия кошмарами и призрачными голосами, пришли в это место. Они принесли в жертву бессчетное количество невинных душ, а наградой им стало новое задание: защитить одно из самых ценных творений Древних Богов, пока оно не наберется сил и не обрушит на мир свою темную мощь.",48,608156,608195,136325,608234,0,0,0
228,Глубины Черной горы,"Глубины Черной горы служат домом дворфам из клана Черного Железа под предводительством императора Даграна Тауриссана. Как и его предшественники, Дагран служит неумолимому повелителю пламени Рагнаросу, который был призван в этот мир сотни лет назад. Могущественные и непредсказуемые огненные элементали привлекли в это горное царство служителей культа Сумеречного Молота. Теперь они вместе со слугами Рагнароса вовлекают дворфов во все более опасные авантюры, способные обречь весь Азерот на погибель.",230,608157,608196,136326,608235,0,0,0
229,Нижняя часть пика Черной горы,"Потрясающая крепость, вырезанная в огненном сердце Черной горы, веками служила образцом мощи клана Черного Железа. Но не так давно черный дракон Нефариан и его род захватили верхние ярусы крепости и развязали жестокую войну с дворфами. Армии драконов нашли своюзника в лице вождя Ренда Чернорука и его ""Орды"", и теперь их объединенные силы хозяйничают на пике Черной горы, проводя эксперименты, призванные расширить их ряды, и строя планы по уничтожению дворфов из клана Черного Железа.",229,608158,608197,136327,608236,0,0,0
230,Забытый город – центральный сад,"Некогда великий город Эльдре'Талас, хранивший многие тайны калдорай, был разрушен. Теперь он стал обителью темных, злобных сил. Между враждующими кланами, которые в свое время бились насмерть за контроль над энергией Забытого города, установился шаткий мир. Теперь им приходится довольствоваться источниками силы на своих территориях, и они не торопятся захватывать весь город.",429,608161,608200,136333,608239,1,0,0
231,Гномреган,"Город Гномреган, построенный глубоко в недрах горы Дун Морог, был ярким свидетельством ума и смекалки гномов. Но когда в столицу вторглись трогги, Сикко Термоштепсель предал главного механика, и Гномреган подвергся воздействию радиации, а большинство его жителей погибли. Выжившие гномы в спешке бежали, но поклялись вернуться – и вернуть себе свой дом.",90,608163,608202,136336,608241,0,0,0
232,Мародон,"Легенда гласит, что от Зейтара, сына Кенария, и принцессы элементалей земли Терадрас ведет свое начало жестокий род кентавров. Лишь только эти безжалостные создания появились на свет, как они убили своего отца. Говорят, что обезумевшая от горя Терадрас заточила душу возлюбленного в Мародоне, и что после этого события скверна поглотила подземелье. Теперь эти пещеры доверху заполнены злобными призраками кентавров и свирепыми элементалями.",349,608170,608209,136345,608248,0,0,0
233,Курганы Иглошкурых,"По легендам, там, где пал полубог Агамагган, из его крови выросли шипастые лозы. В последнее время разведчики неоднократно встречали в этих землях нежить, и есть опасения, что Плеть замышляет вторгнуться в Калимдор.",129,608173,608212,136352,608251,0,0,0
234,Лабиринты Иглошкурых,"По легендам, там, где пал полубог Агамагган, из его крови выросли шипастые лозы. В самом обширном сплетении гигантских лоз поселились свинобразы. Они называют себя иглошкурами, а последнее пристанище Агамаггана почитают как священное место.",47,608174,608213,136353,608252,0,0,0
236,Стратхольм – главные врата,"Стратхольм был настоящей жемчужиной северного Лордерона, но сейчас все помнят лишь его сокрушительное падение. Именно здесь принц Артас когда-то ослушался своего наставника, благородного паладина Утера Светоносного, и вырезал сотни горожан, якобы зараженных чумой нежити. С тех пор в городе царят смерть, предательство и отчаяние.",329,608177,608216,136359,608255,1,0,0
237,Храм Атал'Хаккар,"Тысячи лет назад империя Гурубаши погрязла в гражданской войне, развязанной сектой священников – Атал'аями, которые хотели призвать в Азерот аватару кровавого бога Хаккара Свежевателя Душ, которому они поклонялись. Гурубаши изгнали Атал'аев на болото Печали, где те построили храм Атал'Хаккар. Изера, аспект зеленых драконов, затопила этот храм в болоте и оставила там стражей, призванных следить за тем, чтобы ритаулы призыва больше никогда не повторились.",109,608178,608217,136360,608256,0,0,0
238,Тюрьма,"Глубоко под стоками Штормграда скрыта тюрьма строгого режима. За порядком в этой клоаке, полной опасных рецидивистов, следит тюремщик Телвотер. Совсем недавно заключенные подняли бунт и расправились со стражей. С тех пор в подземной тюрьме воцарился кромешный ад.",34,608184,608223,136358,608262,0,0,0
239,Ульдаман,"Ульдаман – древний подземный склеп титанов. Говорят, они хотели поставить там эксперимент, но он провалился, и тогда титаны покинули город и начали работать над новым проектом, связанным с возникновением дворфов. Слухи о несметных богатствах, содержащих в себе тайные знания, привлекали искателей сокровищ в глубины Ульдамана. Но раскрыть его тайны не так-то легко – Ульдаман охраняют каменные стражи, дикие трогги, захватчики из клана Черного Железа. В забытом городе путника подстерегают и другие опасности...",70,608186,608225,136363,608264,0,0,0
240,Пещеры Стенаний,"Много лет назад прославленный друид ночных эльфов Наралекс спустился в темные пещеры Стенаний со своими спутниками. Своим названием пещеры обязаны похожим на плач звукам, сопровождающим вырывающийся на свободу пар. Он намеревался использовать подземные источники, чтобы вернуть Степям их былое плодородие, но стоило ему окунуться в Изумрудный Сон, как его прекрасное видение обернулось жутким кошмаром. С тех самых пор над этим местом нависло страшное проклятие.",43,608190,608229,136364,608313,0,0,0
241,Зул'Фаррак,"Племя Песчанной Бури ревностно хранило Зул'Фаррак, бывший когда-то жемчужиной Танариса. Но рвение не спасло их, и постепенно большую часть земель пришлось отдать завоевателям. Теперь обитатели Зул'Фаррака трудятся над созданием чудовищной армии мертвых троллей, которая должна захватить прилежащие территории. А еще говорят, что в недрах города спит древнее существо – и если оно проснется, то на Танарис прольется кровавый дождь.",209,608191,608230,136368,608267,1,0,0
246,Некроситет,"Скрытый среди жутковатых склепов под Каэр Дарроу, Некроситет широко известен в кругах тех, кто хочет обрести власть над смертью. За последние годы сменился состав преподавателей, но место ректора по-прежнему занимает темный магистр Гандлинг как самый жестокий и коварный практик некромантии.",1007,608176,608215,136355,608254,1,0,0
247,Аукенайские гробницы,Дренорским изгнанникам смерть казалась неприятным и неблаговидным последствием жизни. Поэтому дренеи скрывали своих мертвых в подземном некрополе Аукиндоне. Этот чудо-лабиринт раскинулся под самым лесом Тероккар.,558,608154,608193,136323,608232,0,0,0
248,Бастионы Адского Пламени,"Практически неприступная цитадель Адского Пламени, расположенная в самом центре одноименного полуострова в Запределье, служила плацдармом для войск Орды в ходе Первой и Второй войн.",543,608168,608207,136338,608246,0,0,0
249,Терраса Магистров,"Когда Кель'тас Солнечный Скиталец потерпел поражение в Крепости Бурь, он открыто объявил о союзе с безжалостным Пылающим Легионом. Намереваясь призвать владыку демонов Кил'джедена, Кель'тас вернулся на остров Кель'данас, чтобы завершить последние приготовления к появлению своего повелителя.",585,608169,608208,136344,608247,1,0,0
250,Гробницы маны,Дренорским изгнанникам смерть казалась неприятным и неблаговидным последствием жизни. Поэтому дренеи скрывали своих мертвых в подземном некрополе Аукиндоне. Этот чудо-лабиринт раскинулся под самым лесом Тероккар.,557,608154,608193,136323,608232,1,0,0
251,Старые предгорья Хилсбрада,В глубине пещер Времени пробудился погруженный в раздумья дракон Ноздорму. Еще на заре мироздания бронзовые драконы неусыпно хранили запутанный лабиринт временных потоков и следили за хрупким равновесием времени.,560,608159,608198,136330,608237,0,0,0
252,Сетеккские залы,Дренорским изгнанникам смерть казалась неприятным и неблаговидным последствием жизни. Поэтому дренеи скрывали своих мертвых в подземном некрополе Аукиндоне. Этот чудо-лабиринт раскинулся под самым лесом Тероккар.,556,608154,608193,136323,608232,0,0,0
253,Темный лабиринт,Дренорским изгнанникам смерть казалась неприятным и неблаговидным последствием жизни. Поэтому дренеи скрывали своих мертвых в подземном некрополе Аукиндоне. Этот чудо-лабиринт раскинулся под самым лесом Тероккар.,555,608154,608193,136323,608232,0,0,0
254,Аркатрац,"Могучую крепость Бурь построили таинственные наару: разумные существа из чистой энергии и заклятые враги Пылающего Легиона. Эта крепость не просто исполняет роль оплота наару, но снабжена технологией перехода в другие измерения, что позволяет ей в мгновение ока перемещаться в новое место.",552,608179,608218,136362,608257,0,0,0
255,Черные топи,В глубине пещер Времени пробудился погруженный в раздумья дракон Ноздорму. Еще на заре мироздания бронзовые драконы неусыпно хранили запутанный лабиринт временных потоков и следили за хрупким равновесием времени.,269,608159,608198,136330,608237,0,0,0
256,Кузня Крови,"Практически неприступная цитадель Адского Пламени, расположенная в самом центре одноименного полуострова в Запределье, служила плацдармом для войск Орды в ходе Первой и Второй войн.",542,608168,608207,136338,608246,1,0,0
257,Ботаника,"Могучую крепость Бурь построили таинственные наару: разумные существа из чистой энергии и заклятые враги Пылающего Легиона. Эта крепость не просто исполняет роль оплота наару, но снабжена технологией перехода в другие измерения, что позволяет ей в мгновение ока перемещаться в новое место.",553,608179,608218,136362,608257,1,0,0
258,Механар,"Могучую крепость Бурь построили таинственные наару: разумные существа из чистой энергии и заклятые враги Пылающего Легиона. Эта крепость не просто исполняет роль оплота наару, но снабжена технологией перехода в другие измерения, что позволяет ей в мгновение ока перемещаться в новое место.",554,608179,608218,136362,608257,0,0,0
259,Разрушенные залы,"Практически неприступная цитадель Адского Пламени, расположенная в самом центре одноименного полуострова в Запределье, служила плацдармом для войск Орды в ходе Первой и Второй войн.",540,608168,608207,136338,608246,1,0,0
260,Узилище,"В глубинах Зангартопи сокрыт захваченный подвластный нагам Резервуар Кривого Клыка. Этот резервуар с его гигантскими трубами и клапанами, казалось, мог бы вмещать армии, но назначение у него совсем не военное.",547,608160,608199,136331,608238,0,0,0
261,Паровое подземелье,"В глубинах Зангартопи сокрыт захваченный подвластный нагам Резервуар Кривого Клыка. Этот резервуар с его гигантскими трубами и клапанами, казалось, мог бы вмещать армии, но назначение у него совсем не военное.",545,608160,608199,136331,608238,0,0,0
262,Нижетопь,"В глубинах Зангартопи сокрыт захваченный подвластный нагам Резервуар Кривого Клыка. Этот резервуар с его гигантскими трубами и клапанами, казалось, мог бы вмещать армии, но назначение у него совсем не военное.",546,608160,608199,136331,608238,1,0,0
271,Ан'кахет: Старое Королевство,"Империя Азжол-Неруб находилась на пике своего могущества, когда армии Короля-лича прибыли в Нордскол. Несмотря на ожесточенное сопротивление, войскам Плети удалось захватить подземное царство и вырезать его жителей, нерубов. Опаленная годами войн и запустевшая, обширная империя поделена на два фронта.",619,608153,608192,237592,608231,0,0,0
272,Азжол-Неруб,"Империя Азжол-Неруб находилась на пике своего могущества, когда армии Короля-лича прибыли в Нордскол. Несмотря на ожесточенное сопротивление, войскам Плети удалось захватить подземное царство и вырезать его жителей, нерубов. Опаленная годами войн и запустевшая, обширная империя поделена на два фронта.",601,608155,608194,237593,608233,1,0,0
273,Крепость Драк'Тарон,"Крепость Драк'Тарон, расположенная на окраине королевства Зул'Драк, когда-то служила мощным форпостом драккари. Но в результате вторжения сил Плети крепость оказалась во власти Короля-лича. Ее погибшие защитники были обращены в нежить. Теперь они продвигаются вглубь земель драккари.",600,608162,608201,237595,608240,0,0,0
274,Гундрак,"Троллям из Зул'драка во что бы то ни стало требовалось спасти свое королевство от уничтожения, и они восстали против Древних богов. Божества дикой природы превратились в источники неисчерпаемой силы, а кровь их стала главным оружием против армии Короля-лича, в рядах которой присутствовали и тролли. Герои уже отправлялись в эти неспокойные земли, чтобы сразиться с дикими драккари и их безумными пророками.",604,608164,608203,237596,608242,1,0,0
275,Чертоги Молний,"Покидая Азерот, титаны доверили лучшим защитникам охрану Ульдуара, таинственного города, укрытого пиками Грозовой гряды. Первым среди своих братьев был назван страж по имени Локен, но осознав, какую мощь оставили после себя титаны, он поддался тьме и вверг город в пучину хаоса.",602,608165,608204,237598,608243,1,0,0
276,Залы Отражений,"Противостояние защитников Азерота и армии Короля-лича продолжалось долгие годы. За это время пало множество героев, а после смерти они были вынуждены присоединиться к чудовищной армии нежити. В ходе этого безустанного противостояния Тирион Фордринг из Серебряного Авангарда объединил силы с рыцарями Черного Клинка под командованием Дариона Могрейна. Теперь эта объединенная армия, получившая название Пепельный союз, собирается взять штурмом цитадель Ледяной Короны.",668,608166,608205,336389,608244,0,0,0
277,Чертоги Камня,"Покидая Азерот, титаны доверили лучшим защитникам охрану Ульдуара, таинственного города, укрытого пиками Грозовой гряды. Первым среди своих братьев был назван страж по имени Локен, но осознав, какую мощь оставили после себя титаны, он поддался тьме и вверг город в пучину хаоса.",599,608167,608206,237599,608245,0,0,0
278,Яма Сарона,"Противостояние защитников Азерота и армии Короля-лича продолжалось долгие годы. За это время пало множество героев, а после смерти они были вынуждены присоединиться к чудовищной армии нежити. В ходе этого безустанного противостояния Тирион Фордринг из Серебряного Авангарда объединил силы с рыцарями Черного Клинка под командованием Дариона Могрейна. Теперь эта объединенная армия, получившая название Пепельный союз, собирается взять штурмом цитадель Ледяной Короны.",658,608171,608210,336391,608249,0,0,0
279,Очищение Стратхольма,В глубине пещер Времени пробудился погруженный в раздумья дракон Ноздорму. Еще на заре мироздания бронзовые драконы неусыпно хранили запутанный лабиринт временных потоков и следили за хрупким равновесием времени.,595,608180,608219,237601,608258,0,0,0
280,Кузня Душ,"Противостояние защитников Азерота и армии Короля-лича продолжалось долгие годы. За это время пало множество героев, а после смерти они были вынуждены присоединиться к чудовищной армии нежити. В ходе этого безустанного противостояния Тирион Фордринг из Серебряного Авангарда объединил силы с рыцарями Черного Клинка под командованием Дариона Могрейна. Теперь эта объединенная армия, получившая название Пепельный союз, собирается взять штурмом цитадель Ледяной Короны.",632,608181,608220,336392,608259,1,0,0
281,Нексус,"Аспект из рода синих драконов, Малигос, вознамерился вновь обрести контроль над силами магии. Он начал ожесточенную борьбу за то, чтобы разорвать связь смертных с тайной энергией Азерота. Теперь синие драконы направляют потоки энергии всего мира к Нексусу, гигантскому логову Малигоса.",576,608182,608221,237602,608260,1,0,0
282,Окулус,"Аспект из рода синих драконов, Малигос, вознамерился вновь обрести контроль над силами магии. Он начал ожесточенную борьбу за то, чтобы разорвать связь смертных с тайной энергией Азерота. Теперь синие драконы направляют потоки энергии всего мира к Нексусу, гигантскому логову Малигоса.",578,608183,608222,237603,608261,0,0,0
283,Аметистовая крепость,"Изящные шпили и исполненные волшебством улицы Даларана как никогда прекрасны, но в могучих стенах Аметистовой Крепости заключена нечистая сила. В крепости издревле держали в неволе всех тех, кто угрожал благополучию города. За узниками крепости неотступно наблюдает Кирин-Тор. Неожиданное нападение поставило под сомнение неприступность крепостных стен и подвергло опасности горожан.",608,608189,608228,237604,608312,0,0,0
284,Испытание чемпиона,"Облака застилают небо над Ледяной Короной, и герои собираются под потрепанными знаменами, готовясь к грядущей буре. Говорят, что всякое темное облако серебром оторочено. Надеждой исполнены братья и сестры Серебряного Авангарда. Надеждой, что Свет проведет их сквозь тяжелые времена. Надеждой, что добро восторжествует над злом. Надеждой, что придет герой, благословленный Светом, и положит конец темному царствованию Короля-лича.",650,608185,608224,311220,608263,0,0,0
285,Крепость Утгард,"Долгое время крепость Утгард считалась заброшенной. Она была лишь памятником погибшей цивилизации, сгинувшей среди обрывов Ревущего фьорда. Но недавно что-то пробудило спящих обитателей крепости – врайкулов.",574,608187,608226,237605,608265,1,0,0
286,Вершина Утгард,"Долгое время крепость Утгард считалась заброшенной. Она была лишь памятником погибшей цивилизации, сгинувшей среди обрывов Ревущего фьорда. Но недавно что-то пробудило спящих обитателей крепости – врайкулов.",575,608188,608227,237606,608266,0,0,0
302,Хмелеварня Буйных Портеров,"Когда Чэнь Буйный Портер приехал в долину Четырех Ветров, в надежде встретить родственников, он направился к хмелеварне своего тезки. Он и подумать не мог, какой хаос ждал его в доме предков. Недотепа дядюшка Гао позволил проникнуть на хмелеварню противным гну-синям и нахальным хозенам. Возникший беспорядок угрожает оставить окрестные селения без вкусных напитков.",961,632268,632275,632362,632282,1,0,0
303,Врата Заходящего Солнца,"Веками гигантский Змеиный Хребет защищал жителей Пандарии от посягательств неистовых насекомоподобных богомолов. Период агрессии этой расы начался раньше, чем обычно, и богомолам удалось застать защитников стены врасплох. Могучие воины богомолов уже атакуют обветшалые врата, и солдатам Пандарии придется сдержать натиск самого разрушительного войска в истории империи.",962,632263,632270,632357,632277,1,0,0
311,Залы Алого ордена,"Самые неистовые бойцы, которые отразили все нападения на монастырь в эти темные времена, участвуют в подготовке новой армии в Залах Алого ордена. Солдат новой армии объединяет безграничная ненависть к нежити, и они готовы принести любую жертву ради победы ордена.",1001,643259,643262,643268,643265,0,0,0
312,Монастырь Шадо-Пан,"На землях Пандарии разразилась кровопролитная война между Альянсом и Ордой, и этот разрушительный конфликт нарушил покой величественного монастыря Шадо-Пан. Три злобных духа — Ша Жестокости, Ша Ненависти и Ша Злости — вырвались из заточения в стенах монастыря. Несмотря на то, что Ша Злости сразу же покинул монастырские земли, двое оставшихся духов обрушились на доблестных защитников Шадо-Пан.",959,632267,632274,632361,632281,1,0,0
313,Храм Нефритовой Змеи,"Этот величественный храм, возвышающийся над восточным побережьем Пандарии, был возведен как священный памятник победы прославленного пандаренского императора Шаохао над Ша Сомнения тысячи лет назад. Совсем недавно, в ходе кровопролитных битв в Нефритовом лесу, ша были высвобождены и вторглись в это бесценное хранилище знаний и мудрости.",960,632269,632276,632363,632283,1,0,0
316,Монастырь Алого ордена,"Из самого сердца монастыря рыцарями алого ордена руководят их фанатичные владыки. Эта надежно защищенная твердыня служит штабом ордена, и ныне самые рьяные и беспощадные крестоносцы задержались на постой в залах этого некогда священного места.",1004,608175,608214,136354,608253,0,0,0
317,Подземелья Могу'шан,"Кичившиеся своим превосходством могу сохранили записи обо всех своих успехах в системе подземелий. Эти покоящиеся во мраке тайны своды появились куда раньше, чем первые записи о Пандарии. Ходили слухи, что в этих подземельях сокрыта могущественная армия – именно поэтому они послужили первой целью древнего бунта, поднятого пандаренами. После падения империи могу эти подземные залы были запечатаны.",1008,632266,632273,632360,632280,0,0,0
320,Терраса Вечной Весны,"Запрятанная в горах терраса Вечной Весны – это священное сердце Вечноцветущего дола. Говорят, ее тихие источники обладают целительной и омолаживающей силой. Однако в результате нападения Ша Страха многие смотрители террасы обратились друг против друга в припадке ужаса.",996,643261,643264,643270,643267,0,0,0
321,Дворец Могу'шан,"Древний дворец Могу'шан остается последним оплотом сил могу в Пандарии. Недавно в этом великолепном дворце собрались три великих клана могу, чтобы засвидетельствовать свое почтение королю Синю Мастеру Боя. Могучий король лелеет смелый замысел объединить разрозненный народ и возродить великую империю. И мечты Синя вполне могут стать явью, пока Пандарию раздирают на части конфликты и смута.",994,632265,632272,632359,632279,1,0,0
322,Пандария,"С самого раскола мира десять тысячелетий назад древнее царство Пандария оставалось нетронутым войной, окруженное густыми туманами. В ее густых лесах и на подернутых дымкой облаков вершинах образовалась сложная экосистема. Среди многих экзотических существ и народов, что считают Пандарию домом, выделяются пандарены — раса, радостно встречающая каждый день жизни перед лицом древней неумолимой угрозы.",996,652217,652218,1062579,652219,2,0,0
324,Осада храма Нюцзао,"Храм Нюцзао расположен на двух укрепленных островах, далеко за высоким валом Змеиного Хребта. Долгие годы пандаренские защитники упорно обороняли от потенциальных интервентов узкие мосты, перекинутые между островами. Однако богомолам удалось создать свою собственную переправу из гигантского древесного корня, чем они застали врасплох гарнизон одного из островов. Теперь неумолимые насекомые намерены добить остатки защитников храма.",1011,643260,643263,643269,643266,0,0,0
