ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
11,Dr,Draenei,Дреней,Дренейка,дреней,дренейка,Дреней,,дреней,,"Дренеи спаслись от демонической Скверны, поразившей их мир, и обратили свою силу на защиту Азерота.",Дреней,,дреней,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Орк Скверны,Орчиха Скверны,орк Скверны,орчиха Скверны,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,Нага,,нага,нага,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,Сломленный,Сломленная,сломленный,сломленная,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,Скелет,,скелет,скелет,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,Врайкул,,врайкул,врайкул,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,Клыкарр,,клыкарр,клыкарр,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,Лесной тролль,,лесной тролль,лесной тролль,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,Таунка,,таунка,таунка,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,Нордскольский скелет,,Нордскольский скелет,Нордскольский скелет,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
21,It,IceTroll,Ледяной тролль,,ледяной тролль,ледяной тролль,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,Ворген,,ворген,ворген,Гилнеасец,,гилнеасец,,"Проклятие превратило людей из Гилнеаса в диких воргенов, но они обуздали свою ярость и используют ее во благо.",Ворген,,ворген,,6291526,2203,170,15007,1096,623712,313254,651555,0,47273,0,47268,47239,47268,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,Житель Гилнеаса,Жительница Гилнеаса,гилнеасец,гилнеаска,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,47268,47268,47268,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,Пандарен,Пандаренка,пандарен,пандаренка,Пандарен,,пандарен,,"Любознательные и одухотворенные пандарены обожают вкусную еду, хмельные напитки и приключения.",Пандарен,,пандарен,,6543380,2395,259,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,10,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,Пандарен,Пандаренка,пандарен,пандаренка,Тушуй,,тушуй,,"Любознательные и одухотворенные пандарены обожают вкусную еду, хмельные напитки и приключения.",Пандарен,,пандарен,,211460,2401,259,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,10,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,Пандарен,Пандаренка,пандарен,пандаренка,Хоцзинь,,хоцзинь,,"Любознательные и одухотворенные пандарены обожают вкусную еду, хмельные напитки и приключения.",Пандарен,,пандарен,,211460,2402,259,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,10,24,24,0,24,1,24,0,24,1,0,0
27,Nb,Nightborne,Ночнорожденный,Ночнорожденная,ночнорожденный,ночнорожденная,Шал'дорай,,шал'дорай,,"Ночнорожденные – непревзойденные чародеи, отточившие свое мастерство за десять тысяч лет изоляции в Сурамаре.",Эльф,,эльф,,11010052,1610,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,12413,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
28,Ht,HighmountainTauren,Таурен Крутогорья,Тауренка Крутогорья,таурен,тауренка,Таурен,,таурен,,"Таурены Крутогорья – могучая и благородная раса, почитающая духов земли, рек и неба.",Таурен,,таурен,,8912902,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,12415,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
29,Ve,VoidElf,Эльф Бездны,Эльфийка Бездны,эльф Бездны,эльфийка Бездны,Рен'дорай,,рен'дорай,,Преображенные запретной магией эльфы Бездны были изгнаны своими собратьями и теперь сражаются за Альянс.,Эльф,,эльф,,9961484,4,0,15007,1096,623712,1662242,651555,0,0,0,0,0,0,12291,10,1,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,27,0,8,0,10,0,10,1,10,0,10,1,0,0
30,Ld,LightforgedDraenei,Озаренный дреней,Озаренная дренейка,дреней,дренейка,Озаренный,,озаренный,,"Озаренные дренеи наполнили свои тела Светом, превратив себя в живое оружие против сил зла.",Дреней,,дреней,,8912910,1629,0,15007,1096,623712,1662241,651555,0,0,0,0,0,0,12414,10,2,29,0,0,0,0,0,0,0,0,0,0,0,7,7,0,28,0,2,0,11,0,11,1,11,0,11,1,0,0
31,Za,ZandalariTroll,Зандалар,Зандаларка,зандалар,зандаларка,Зандалар,,зандалар,,"Зандалары поклоняются таинственным лоа, а их боевой флот считается одним из лучших на Азероте.",Тролль,,тролль,,15204358,116,0,15007,1096,623714,2743642,651558,0,0,0,0,0,0,13503,10,4,30,0,0,0,0,0,0,0.08,0,0,0.08,0,1,7,1,32,0,7,0,0,-1,8,1,0,-1,8,1,8,0
32,Kt,KulTiran,Култирасец,Култираска,култирасец,култираска,Култирасец,,култирасец,,После долгих лет изоляции гордые култирасцы снова направили свой могучий флот на помощь Альянсу.,Человек,,человек,,15204364,1,0,15007,1096,623712,2575493,651555,0,0,0,0,0,0,13504,10,4,31,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,0,1,0,0,-1,0,-1,0,-1,0,-1,1,0
33,Th,ThinHuman,Человек,Человек,человек,человек,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
34,Di,DarkIronDwarf,Дворф из клана Черного Железа,Дворфийка из клана Черного Железа,дворф,дворфийка,Дворф Черного Железа,,дворф Черного Железа,,Упрямые и свирепые дворфы из клана Черного Железа сражаются плечом к плечу с собратьями из других кланов.,Дворф,,дворф,,8912908,3,0,15007,1090,623712,2005930,651555,0,0,0,0,0,0,13076,10,3,11,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,0,1,0,3,0,3,1,3,0,3,1,3,0
35,Vu,Vulpera,Вульпера,Вульпера,вульпера,вульпера,Вульпера,,вульпера,,"Вульперы – хитрый и находчивый народ, научившийся выживать в самых суровых условиях.",Вульпера,,вульпера,,15204358,2204,0,15007,1096,623714,3188841,651558,0,0,0,0,0,0,14002,10,10,12,0,0,0,0,0,0,0.082,0,0,0.085,0,1,7,1,37,0,4,0,0,-1,0,-1,0,-1,0,-1,9,0
36,Mo,MagharOrc,Маг'хар,Маг'харка,орк,орчиха,Маг'хар,,маг'хар,,"Магхары – свободные от Скверны орки с Дренора, которые оставили прежние распри и объединились под общим знаменем.",Орк,,орк,,8912908,2,0,15007,1096,623714,2005932,651558,0,0,0,0,0,0,13077,10,3,13,0,0,0,0,0,0,0.085,0,0,0.07,0,1,7,1,34,0,1,0,2,0,2,1,2,0,2,1,2,0
37,Mg,Mechagnome,Механогном,Механогномка,механогном,механогномка,Механогном,,механогном,,"Хитроумные механогномы – ценные союзники Альянса, усиливающие свои тела с помощью механических имплантатов.",Гном,,гном,,15204364,115,0,15007,1096,623712,3188839,651555,0,0,0,0,0,0,14014,10,0,14,896,0,0,0,0,0,0,0,0,0,0,7,7,0,35,0,1,0,7,0,7,1,7,0,7,1,0,0
52,Dt,Dracthyr,Драктир,,драктир,,Драктир,,драктир,,В драктирах живет магия драконьих родов. Они сочетают изобретательность смертных с мощью драконов.,Дракон,,дракон,,167772164,1,0,15007,1096,623712,4620425,651555,0,0,0,155552,155552,155552,0,10,0,16,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,7,7,0,70,75,13,0,0,-1,0,-1,0,-1,0,-1,0,0
70,Dt,Dracthyr,Драктир,,драктир,,Драктир,,драктир,,В драктирах живет магия драконьих родов. Они сочетают изобретательность смертных с мощью драконов.,Дракон,,дракон,,167772164,2,0,15007,1096,623714,4620425,651558,0,0,0,155552,155552,155552,0,10,0,15,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,1,7,1,52,76,13,0,0,-1,0,-1,0,-1,0,-1,0,0
71,Cd,CompanionDrake,Дракон нагорья,,дракон нагорья,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,13,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
72,Cp,CompanionProtoDragon,Обновленный протодракон,,обновленный протодракон,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,11,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
73,Cs,CompanionSerpent,Скользящий дракозмей,,скользящий дракозмей,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,15,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
74,Cw,CompanionWyvern,Горный вивернодракон,,горный вивернодракон,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,14,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
75,Dt,Dracthyr,Человек,,человек,,Человек,,человек,,"Таинственный народ, обладающий талантом управлять свечами.",Человек,,человек,,103,1,0,15007,1096,623712,131948,651555,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,7,7,0,0,0,0,0,10,0,1,1,10,0,1,1,0,23
76,Dt,Dracthyr,Человек,,человек,,Человек,,человек,,"Таинственный народ, обладающий талантом управлять свечами.",Человек,,человек,,103,1,0,15007,1096,623714,132003,651558,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,1,7,1,0,0,0,0,10,0,1,1,10,0,1,1,0,23
77,Ct,CompanionPterrodax,Воздушный велоцидракон,,воздушный велоцидракон,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,12,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
80,Cn,CompanionNetherwingDrake,Дракон Крыльев Пустоты из грота,,дракон Крыльев Пустоты из грота,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,16,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
82,Sg,RostrumStormGryphon,Алгарийский странник бурь,,алгарийский странник бурь,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,17,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
83,Fd,RostrumFaerieDragon,Цветущий чудозмейчик,,цветущий чудозмейчик,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,18,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
84,Ed,EarthenDwarf,Земельник,Земельник,земельник,земельник,Земельник,,земельник,,"Освободившись от старых запретов, земельники с жадным любопытством вступают в большой мир и присоединяются к Орде.",Земельник,,земельник,,15204364,2,0,15007,1090,623714,5797525,651558,0,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,1,7,1,85,0,1,0,3,0,3,1,3,0,3,1,3,0
85,Ed,EarthenDwarf,Земельник,Земельник,земельник,земельник,Земельник,,земельник,,"Освободившись от старых запретов, земельники с жадным любопытством вступают в большой мир и присоединяются к Альянсу.",Земельник,,земельник,,8912908,3,0,15007,1090,623712,5797525,651555,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,7,7,0,84,0,1,0,84,0,84,1,84,0,84,1,3,0
86,Hr,Harronir,Харанир,Харанир,харанир,харанир,Харанир,,харанир,,,Харанир,,харанир,,517,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
87,As,RostrumAirship,Дирижабль для вылазок,,Дирижабль для вылазок,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,19,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
90,As,RostrumAirship,Вездешлямзель для вылазок,,вездешлямзель для вылазок,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
