ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
暗月馬戲團：搭乘旋轉木馬或騎乘沙池虎時，使用「/歡呼」,在{EventStartDate}-{EventEndDate}期間，在暗月島搭乘旋轉木馬或騎乘沙池虎時，使用表情指令「/歡呼」。,116,142048,50,0,0
使用巨龍群島傳送網路,與遠古傳送門互動，使用巨龍群島的傳送網路。,117,142050,100,0,0
在龍泉峰擊殺生物,在雍亞拉平原東南方的龍泉峰，殺死可獲得經驗值的生物。,118,142052,50,0,0
完成洪流的試煉,在巨龍群島的雍伊爾溫泉，完成「洪流的試煉」。,119,142054,50,0,0
完成「安詳夢境水療中心」故事劇情,在巨龍群島的薩爪祖斯，完成「安詳夢境水療中心」故事劇情。,120,142056,50,0,0
以龍類寵物擊敗巨龍群島精英寵物,以至少包含2隻龍類寵物的陣容，擊敗2隻巨龍群島精英寵物。,121,142058,200,0,0
在「酷炫登場」的時候釣起物品,戴著黑瑪瑙防眩光眼鏡或工匠的單邊鏡片時釣起物品。,122,142063,50,0,0
在「看」起來很有型的時候製作物品,戴著黑瑪瑙防眩光眼鏡或工匠的單邊鏡片時製作物品。,123,142065,50,0,0
完成蒼藍高地支線故事情節,,124,142067,150,0,0
在諾庫敦堡獲得榮譽值,在巨龍群島的諾庫敦堡獲得榮譽值。,125,142046,100,0,0
改變大狩獵夥伴的外觀,在巨龍群島的大狩獵場地與訓練師弗羅尊交談。,126,142080,20,0,0
在巨龍群島發現隱藏寶石簇,在巨龍群島使用寶石簇地圖。,127,142082,50,0,0
以機械寵物擊敗巨龍群島大師級馴獸師,以至少包含2隻機械寵物的陣容，擊敗2個巨龍群島大師級馴獸師。,128,142725,200,0,0
在雍亞拉平原獲得賞金和戰爭補給箱,在雍亞拉平原從被殺死的玩家身上獲得戰爭模式賞金，並開啟戰爭補給箱。,129,142087,150,0,0
完成每週製作任務,可在沃卓肯的工匠市場中，領取每週專業技能任務。,130,0,100,0,0
完成「攻打龍禍要塞」,在甦醒海岸完成「攻打龍禍要塞」場景。,133,0,50,0,0
完成攀爬世界任務,在巨龍群島完成攀爬世界任務。,135,142099,100,0,0
被洪荒使者風暴的龍捲風命中,在洪荒雷霆風暴中，被龍捲風命中。,136,142112,50,0,0
完成「艾拉格商隊」任務,在巨龍群島的雍亞拉平原，完成艾拉格商隊任務。,137,142114,100,0,0
使用飛龍騎術，乘著群島之風翱翔,在巨龍群島使用飛龍騎術，乘著群島之風翱翔。,138,142133,50,0,0
在伊斯凱拉的巨牙海民釣魚洞釣起物品,,139,142135,50,0,0
在巨龍群島收集血腥代幣,在巨龍群島完成PvP活動。,140,142224,150,0,0
貴族花園：完成每日任務,From {EventStartDate} - {EventEndDate} complete Noblegarden daily quests.,141,142243,100,0,0
在巨龍群島對小動物使用「/彈跳」,向巨龍群島的小動物使用表情指令「/彈跳」。,142,142248,50,0,0
在「酷炫登場」的時候喝湯,在受到「酷炫登場」玩具的效果影響時，從伊斯凱拉的共用鍋喝湯。,143,142261,50,0,0
向貿易站使用「/愛」,對貿易站的商人和他們的商品使用表情指令「/愛」。,144,142268,50,0,0
擊敗25個團隊副本首領,,145,142290,250,0,10
與數名好友一起捕捉大傢伙,在巨龍群島，與至少其他5名玩家一起用魚叉捕捉大傢伙。,146,142297,50,0,0
完成公開製作訂單,在沃卓肯的工匠市場，與製作訂單辦事員交談，取得製作訂單。,147,142299,100,0,0
完成個人製作訂單,在沃卓肯的工匠市場，與專業技能訓練師交談。,148,142303,100,0,0
貴族花園：戴著春日頭環，通關1個《巨龍崛起》地城,From {EventStartDate} - {EventEndDate} complete a Dragonflight dungeon while wearing a spring circlet.,149,142324,50,0,0
擊敗風暴之怒的首領,在巨龍群島的洪荒使者未來擊敗風暴之怒的首領。,150,142527,100,0,0
完成公開製作訂單,在沃卓肯的工匠市場，與製作訂單辦事員交談，取得製作訂單。,152,142299,100,0,0
打開澤斯克拉密庫的門,在澤斯克拉密庫中，使用澤斯克拉密庫鑰匙開門。,154,143906,100,0,0
完成莫魯克半人馬大狩獵。,在巨龍群島，完成莫魯克半人馬大狩獵。,155,143919,150,0,0
集體盛宴期間的「是的，主廚！」,在巨龍群島伊斯凱拉的集體盛宴完成「是的，主廚！」。,156,143922,50,0,0
完成飛龍競速世界任務,,157,144066,50,0,0
完成龍鱗遠征隊世界任務,在巨龍群島，完成龍鱗遠征隊世界任務。,158,143930,100,0,0
擊敗禁忌之境的洪荒風暴首領,在巨龍群島擊敗禁忌之境的洪荒風暴首領。,159,143936,50,0,0
完成「生命火花」任務,完成巨龍群島的「生命火花」任務。,160,143949,100,0,0
完成澤斯克拉密庫每週任務,在巨龍群島的禁忌之境，完成澤斯克拉密庫每週任務。,161,143955,75,0,0
以龍類寵物擊敗巨龍群島馴獸師,以至少包含2隻龍類寵物的陣容，擊敗巨龍群島馴獸師。,162,143959,200,0,0
在《德拉諾之霸》地城中使用曳動之沙玩具,,163,143966,50,0,0
兒童週：完成一個任務,From {EventStartDate} - {EventEndDate} complete a Children's Week quest.,164,143968,100,0,0
兒童週：當孤兒在你旁邊的時候完成每日任務,From {EventStartDate} - {EventEndDate} complete daily quests while you have an orphan alongside you.,165,143977,100,0,0
兒童週：當孤兒在你旁邊的時候用魚叉捕捉大傢伙,From {EventStartDate} - {EventEndDate} use a harpoon to land lunkers while you have an orphan alongside you.,166,143998,50,0,0
兒童週：完成任務,From {EventStartDate} - {EventEndDate} complete 4 Children's Week quests.,167,144000,150,0,0
兒童週：當孤兒在你旁邊的時候對佩菈‧舒風使用「/歡呼」,在{EventStartDate}-{EventEndDate}期間，當孤兒在你旁邊的時候，在伊斯凱拉對佩菈‧舒風使用表情指令「/歡呼」。,168,144011,50,0,0
兒童週：當孤兒在你旁邊的時候通關傳奇鑰石難度地城,From {EventStartDate} - {EventEndDate} complete Mythic+ dungeons while you have an orphan alongside you.,169,144013,100,0,0
春日氣球節：完成熱氣球之旅,From {EventStartDate} - {EventEndDate} hop into a hot air balloon and enjoy the whole ride.,170,144015,100,0,0
白閃菇慶典：見證福咻菇的生與死,在{EventStartDate}當天，前往贊格沼澤的斯博格爾，為巨型福咻菇的生存助上一臂之力。,171,144017,150,0,0
暗月馬戲團：完成「坦克指揮官」,From {EventStartDate} - {EventEndDate} complete the quest Tonk Commander on Darkmoon Faire Island.,172,144021,50,0,0
暗月馬戲團：氣球加上小馬等於快樂,From {EventStartDate} - {EventEndDate} ride a Darkmoon Pony around Darkmoon Faire Island while holding a balloon.,173,144028,50,0,0
黃色小鴨釣魚,使用一箱浮標：黃色小鴨玩具，在巨龍群島釣起物品。,174,144039,50,0,0
代表燃刃氏族殺死生物,在受到燃刃旌旗玩具的效果影響時，在巨龍群島上殺死可獲得經驗值的生物。,175,144041,50,0,0
使用魚人眼鏡玩具,在沃卓肯、伊斯凱拉、莫魯凱和龍鱗基地使用魚人眼鏡。,176,144043,100,0,0
受魚人眼鏡影響時使用「/跳舞」,在受魚人眼鏡玩具的魚人眼鏡效果影響時，對一名玩家使用表情指令「/跳舞」。,177,144048,50,0,0
翻開爐石戰記遊戲板,前往蒼藍高地的遺鏈旅店，使用爐石戰記遊戲板拖鏈，與爐石戰記遊戲板互動。,178,144050,50,0,0
硬拉或搭乘伊斯凱拉拖曳雪橇,使用伊斯凱拉拖曳雪橇玩具，拖著它到處跑，或乘坐別人的雪橇。,179,144056,50,0,0
Timewalking: Defeat Draenor Pet Tamers,From {EventStartDate} - {EventEndDate} defeat Draenor Master Tamers.,180,144059,100,0,0
在禁忌之境，完成飛龍騎術逆向賽道。,在巨龍群島，與禁忌之境的青銅時空守衛者交談。,181,144100,100,0,0
在巨龍群島捕捉熔岩魚,,182,144559,100,0,0
[DNT] Test: Noblegarden: Complete a Dragonflight Dungeon in a Spring Circlet,"[DNT]  Test: From {EventStartDate} - {EventEndDate}, complete a Dragonflight dungeon wearing any Spring Circlet.",184,144640,150,0,0
在貼地飛掠期間恢復飛龍騎術的活力,,185,144628,100,0,0
在扎拉萊克洞窟完成龍鱗遠征隊世界任務,在扎拉萊克洞窟，完成攀爬和編目世界任務。,186,144630,100,0,0
使用魚叉捕捉熔岩大傢伙,在巨龍群島的釣魚洞，在巨牙海民「大傢伙目擊地點」附近，用伊斯凱拉魚叉捕捉熔岩大傢伙。,187,144835,100,0,0
在甦醒海岸殺死玩家,,188,144916,100,0,0
以元素寵物擊敗禁忌之境的風暴寵物首領,以至少包含2隻元素寵物的陣容，擊敗禁忌之境的風暴寵物首領。,189,146075,200,0,0
仲夏火焰節慶：完成每日任務,From {EventStartDate} - {EventEndDate} complete Midsummer Fire Festival daily quests.,190,145066,200,0,0
仲夏火焰節慶：榮耀潘達利亞的火焰,From {EventStartDate} - {EventEndDate} honor the flames on Pandaria.,191,145072,200,0,0
仲夏火焰節慶：褻瀆潘達利亞的篝火,From {EventStartDate} - {EventEndDate} desecrate the bonfire in Vale of Eternal Blossoms on Pandaria.,192,145087,100,0,0
仲夏火焰節慶：榮耀巨龍群島的火焰,From {EventStartDate} - {EventEndDate} honor the flames on the Dragon Isles.,193,145090,200,0,0
仲夏火焰節慶：歌頌黑曜王座的火焰,From {EventStartDate} - {EventEndDate} emote /dance with the Brazier of Dancing Flames toy at the Obsidian Throne in the Waking Shores.,194,145097,100,0,0
仲夏火焰節慶：擊敗艾胡恩,From {EventStartDate} - {EventEndDate} defeat the Frost Lord Ahune.,195,145187,200,0,0
在潘達利亞完成任務,在潘達利亞完成可獲得經驗值的任務。,196,145189,150,0,-40
在潘達利亞捕魚,,200,145221,100,0,-40
Timewalking: Defeat Pandaria Master Tamers,From {EventStartDate} - {EventEndDate} defeat 3 Pandaria Master Tamers.,201,145232,100,0,-40
鬥船節：打造一艘小艇,在{EventStartDate}-{EventEndDate}期間完成鬥船節任務，取得鬥船的零件來做出一艘小艇。,202,145239,100,0,0
鬥船節：在巨龍群島四處航行,From {EventStartDate} - {EventEndDate} use a Small Boat to sail around the Dragon Isles.,203,145241,150,0,0
暗月馬戲團：完成「火鳥的挑戰」,From {EventStartDate} - {EventEndDate} complete the quest Firebird's Challenge at the Darkmoon Faire.,205,145281,50,0,0
暗月馬戲團：在暗月島和沃卓肯使用燃燒火圈玩具。,From {EventStartDate} - {EventEndDate} use the Flaming Hoop toy on Darkmoon Faire Island and in Valdrakken.,206,145285,50,0,0
在加熱生命之池後，擊敗傳奇難度的可幾亞‧焰蹄,在傳奇難度的晶紅生命之池，用熔岩巨石加熱4座生命之池後，擊敗可幾亞‧焰蹄。,207,145290,100,0,0
在扎拉萊克洞窟完成飛龍騎術賽道,在巨龍群島，與扎拉萊克洞窟的青銅時空守衛者交談。,209,145403,100,0,0
在扎拉萊克洞窟殺死玩家,,210,145405,100,0,0
在扎拉萊克洞窟完成寵物對戰世界任務,在扎拉萊克洞窟，以全隊都是25級的寵物完成寵物對戰世界任務。,211,145407,150,0,0
在扎拉萊克洞窟完成攀爬世界任務,,212,145414,100,0,0
時光漫遊：完成1個《德拉諾之霸》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Warlords of Draenor Timewalking dungeons.,213,145430,25,0,0
時光漫遊：完成1個軍臨天下時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Legion Timewalking dungeons.,214,145441,25,0,0
時光漫遊：完成5個軍臨天下時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Legion Timewalking dungeons.,215,145457,100,214,0
完成一個寵物對戰挑戰任務,拜訪達拉然的寵物店、波拉勒斯的蒂茲‧輪擊或達薩亞洛的羅德克‧熔鎖，以展開挑戰。,216,145477,100,0,0
絢麗煙火：對狂歡者使用「/跳舞」,在{EventStartDate}當天，對暴風城、奧格瑪和藏寶海灣的狂歡者使用表情指令「/跳舞」。,217,145546,100,0,-4
使用燃燒的防禦者勳章玩具並擊殺生物,在受到燃燒的防禦者勳章玩具的效果影響時，在巨龍群島上擊殺可獲得經驗值的生物。,218,145550,100,0,0
在碎鱗者要塞或黑曜龍堡擊殺生物,在甦醒海岸的碎鱗者要塞或黑曜龍堡中擊殺生物,219,145554,100,0,0
發光生物體：購買水母醬,在{EventStartDate}從瓦許伊爾的馬克斯‧百萬爆裂購買水母醬。,220,145559,120,0,-13
發光生物體：購買潛水推進裝置,在{EventStartDate}從瓦許伊爾的馬克斯‧百萬爆裂購買一個潛水推進裝置。,221,145563,130,0,-13
發光生物體：購買損壞的潛水頭盔,在{EventStartDate}從瓦許伊爾的馬克斯‧百萬爆裂購買一個損壞的潛水頭盔。,222,145565,150,0,-13
對被一把火柴玩具點燃的玩家使用「/寒冷」,對受一把火柴玩具效果影響的玩家使用表情指令「/寒冷」。,223,145567,50,0,0
拍賣場跳舞派對：對憤怒的商人使用表情指令「/不同意」,在{EventStartDate}當天，對暴風城或奧格瑪拍賣場外的憤怒的商人使用表情指令「/不同意」。,224,145569,100,0,-22
使用一把火柴玩具,在沃卓肯、伊斯凱拉、龍鱗基地和莫魯凱使用一把火柴玩具。,225,145571,100,0,0
拍賣場跳舞派對：獲得快樂舞步,在{EventStartDate}當天，在暴風城或奧格瑪拍賣場被召喚登台，獲得快樂舞步。,226,145586,100,0,-22
仲夏火焰節慶：偷取火焰,From {EventStartDate} - {EventEndDate} complete the Stealing Orgrimmar's Flame or Stealing Stormwind's Flame quest.,227,145588,150,0,-2
為貿易站「/歡呼」,向貿易站的商人和他們的商品「/歡呼」。,228,145597,20,0,0
為超級可汗龜幫「/歡呼」,使用超級可汗龜幫玩具並對超級可汗龜幫使用表情指令「/歡呼」。,230,145600,20,0,0
為守護巨龍「/歡呼」,在沃卓肯向守護巨龍使用表情指令「/歡呼」。,231,145602,20,0,0
使用隔熱跳舞鞋墊玩具,在沃卓肯和洛姆使用隔熱跳舞鞋墊玩具。,232,145606,50,0,-30
對隔熱跳舞鞋墊使用「/好啊」,在受隔熱跳舞鞋墊玩具的烈焰之足效果影響時，對敵對陣營的玩家使用表情指令「/好啊」。,233,145613,100,0,-30
在元素灌能營地完成菲拉卡襲擊每日任務,在巨龍群島的元素灌能營地，完成菲拉卡襲擊每日任務。,234,145702,100,0,0
為葛利姆羅格的競速蝸牛「/歡呼」,對葛利姆羅格的競速蝸牛做出表情指令「/歡呼」。,235,145736,50,0,0
使用快樂巨牙海民狂歡派對玩具,在沃卓肯和洛姆使用快樂巨牙海民狂歡派對玩具。,236,145723,50,0,0
使用曳動之沙玩具,在沃卓肯、莫克特村和洛姆使用曳動之沙玩具。,237,145741,50,0,-40
用曳動之沙「/跳舞」,在曳動之沙玩具的曳動之沙效果影響時，對敵對陣營的玩家使用表情指令「/跳舞」。,238,145745,100,0,-40
在主城發射軍團煙火,在沃卓肯和暴風城/奧格瑪中使用工程學的軍團煙火。,239,145765,50,0,-50
在鼴鼠人洞穴中拾取寶箱,在扎拉萊克洞窟與鼴鼠人夥伴一起探索洞穴時，拾取寶箱。,240,145770,200,0,0
在巨龍崛起地城發射軍團煙火,在《巨龍崛起》地城中使用工程學的軍團煙火。,241,145788,50,0,-50
在巨龍崛起團隊副本發射軍團煙火,在《巨龍崛起》團隊副本中使用工程學的軍團煙火。,242,145790,50,0,-50
使用勁爆暗月熱舞玩具。,在洛姆使用勁爆暗月熱舞玩具。,243,145792,50,0,0
使用龍獸茶具組玩具,在沃卓肯、伊斯凱拉、莫克特村和黑曜王座使用龍獸茶具組玩具。,244,145794,50,0,0
使用D.I.S.C.O.玩具,在沃卓肯和暴風城/奧格瑪使用D.I.S.C.O.玩具聽音樂。,245,145801,50,0,0
暗月馬戲團：對樂團使用「/歡呼」,From {EventStartDate} - {EventEndDate} emote /cheer at the bands on Darkmoon Faire Island.,246,145810,50,0,0
獲得元素溢流,從受洪荒使者風暴影響的生物身上獲得元素溢流。,247,145813,100,0,0
在元素灌能營地獲得菲拉卡襲擊元素灌能爐缸,在巨龍群島的元素灌能營地，獲得菲拉卡襲擊元素灌能爐缸。,248,145855,100,0,0
在扎拉萊克洞窟發現遠古石頭,,249,145857,100,0,0
在「遭攻擊的研究員」中收集泰坦零件,在封鎖亂象期間，在「遭攻擊的研究員」中收集泰坦零件。,250,145862,100,0,0
對邁里特使用「/嗅嗅」,在扎拉萊克洞窟中尋寶時，對邁里特使用表情指令「/嗅嗅」。,251,145976,50,0,0
在蝸牛競速擊退興奮的粉絲,在葛利姆羅格中，擊退干擾蝸牛競速的興奮的粉絲。,252,145980,50,0,0
